date,weather,dealer_orders,dtc_orders,total_orders,purchase_orders_received,purchase_units_received,purchase_orders_created,purchase_units_ordered,total_on_hand_units,total_available_units,out_of_stock_skus,sales_orders,customer_count,booked_revenue,requested_units,fulfilled_units,backordered_units,fulfilled_revenue,service_level,backorder_rate
2022-03-12,Sunny,5,13,18,1,61,0,0,4060,4060,52,18,6,208131.46,54,24,30,89580.72,0.4444444444444444,0.5555555555555556
2022-03-13,Sunny,2,13,15,1,60,1,60,4101,4101,51,15,3,119386.55,28,19,9,81454.15,0.6785714285714286,0.32142857142857145
2022-03-14,Sunny,18,8,26,6,368,2,122,4378,4378,45,26,16,543074.43,172,91,81,298445.15,0.5290697674418605,0.47093023255813954
2022-03-15,Sunny,19,7,26,3,186,3,187,4446,4446,44,26,17,608799.01,200,118,82,366191.18,0.59,0.41
2022-03-16,Sunny,19,9,28,2,123,1,60,4453,4453,46,28,14,604505.59,200,116,84,357364.53,0.58,0.42
2022-03-17,Sunny,18,9,27,2,121,2,121,4482,4482,47,27,15,478129.97,156,92,64,287073.02,0.5897435897435898,0.41025641025641024
2022-03-18,Sunny,16,12,28,2,122,0,0,4498,4498,46,28,13,512967.54,161,106,55,353244.11,0.6583850931677019,0.3416149068322981
2022-03-19,Sunny,6,14,20,1,63,2,120,4533,4533,46,20,7,194492.05,53,28,25,112677.42,0.5283018867924528,0.4716981132075472
2022-03-20,Sunny,2,14,16,0,0,0,0,4510,4510,46,16,3,148781.38,39,23,16,96591.44,0.5897435897435898,0.41025641025641024
2022-03-21,Sunny,18,8,26,4,243,1,62,4655,4655,42,26,15,514137.02,172,98,74,313168.5,0.5697674418604651,0.43023255813953487
2022-03-22,Sunny,20,8,28,1,63,3,183,4562,4562,42,28,17,692247.38,219,156,63,504952.37,0.7123287671232876,0.2876712328767123
2022-03-23,Sunny,18,10,28,2,121,5,306,4591,4591,40,28,15,470227.56,151,92,59,295673.68,0.609271523178808,0.39072847682119205
2022-03-24,Sunny,19,9,28,3,184,4,243,4614,4614,39,28,16,681741.17,217,161,56,506784.54,0.7419354838709677,0.25806451612903225
2022-03-25,Sunny,17,13,30,1,60,0,0,4548,4548,42,30,14,556755.34,177,126,51,401895.08,0.711864406779661,0.288135593220339
2022-03-26,Sunny,6,15,21,2,120,2,122,4593,4593,40,21,6,288540.45,83,75,8,265640.17,0.9036144578313253,0.0963855421686747
2022-03-27,Sunny,2,12,14,1,60,1,60,4637,4637,39,14,3,78453.4,19,16,3,72713.14,0.8421052631578947,0.15789473684210525
2022-03-28,Sunny,18,7,25,3,184,2,123,4691,4691,36,25,14,609917.96,182,130,52,447591.74,0.7142857142857143,0.2857142857142857
2022-03-29,Sunny,22,9,31,1,61,5,308,4590,4590,38,31,17,724911.38,219,162,57,543231.59,0.7397260273972602,0.2602739726027397
2022-03-30,Sunny,21,9,30,2,125,3,187,4587,4587,38,30,17,584804.92,188,128,60,396555.76,0.6808510638297872,0.3191489361702128
2022-03-31,Sunny,18,9,27,3,183,2,125,4658,4658,35,27,15,467703.84,146,112,34,375057.26,0.7671232876712328,0.2328767123287671
2022-04-01,Sunny,20,16,36,1,61,0,0,4561,4561,38,36,18,650813.95,203,158,45,502478.64,0.7783251231527094,0.22167487684729065
2022-04-02,Sunny,6,19,25,0,0,5,308,4480,4480,39,25,6,341747.86,91,81,10,309043.2,0.8901098901098901,0.10989010989010989
2022-04-03,Sunny,2,17,19,1,60,2,121,4507,4507,40,19,3,180227.01,46,33,13,132491.51,0.717391304347826,0.2826086956521739
2022-04-04,Sunny,26,12,38,2,124,4,246,4461,4461,40,38,18,838874.68,256,170,86,578184.78,0.6640625,0.3359375
2022-04-05,Sunny,31,12,43,1,60,2,129,4303,4303,44,43,24,917325.29,298,218,80,679665.05,0.7315436241610739,0.2684563758389262
2022-04-06,Sunny,24,11,35,2,122,3,185,4279,4279,47,35,15,626951.36,201,146,55,446748.68,0.7263681592039801,0.2736318407960199
2022-04-07,Sunny,23,11,34,2,120,2,122,4259,4259,49,34,19,573858.19,199,140,59,390667.98,0.7035175879396985,0.2964824120603015
2022-04-08,Sunny,22,15,37,0,0,3,191,4150,4150,49,37,19,558754.62,179,109,70,339099.05,0.6089385474860335,0.39106145251396646
2022-04-09,Sunny,7,19,26,0,0,1,60,4109,4109,49,26,8,270756.1,74,41,33,151319.82,0.5540540540540541,0.44594594594594594
2022-04-10,Sunny,2,14,16,1,60,0,0,4146,4146,48,16,3,111093.08,31,23,8,79652.32,0.7419354838709677,0.25806451612903225
2022-04-11,Sunny,26,12,38,5,311,2,122,4274,4274,45,38,16,742230.17,254,183,71,529525.16,0.7204724409448819,0.2795275590551181
2022-04-12,Sunny,27,9,36,7,431,0,0,4557,4557,47,36,18,714720.84,227,148,79,472887.84,0.6519823788546255,0.34801762114537443
2022-04-13,Sunny,25,12,37,1,60,3,186,4483,4483,50,37,15,722204.98,238,134,104,408990.96,0.5630252100840336,0.4369747899159664
2022-04-14,Sunny,23,13,36,2,120,2,120,4497,4497,49,36,17,632555.72,194,106,88,351413.99,0.5463917525773195,0.4536082474226804
2022-04-15,Sunny,22,16,38,2,121,2,121,4471,4471,47,38,18,740396.25,229,147,82,466936.11,0.6419213973799127,0.35807860262008734
2022-04-16,Sunny,7,15,22,1,60,0,0,4483,4483,47,22,8,232067.02,67,48,19,165193.97,0.7164179104477612,0.2835820895522388
2022-04-17,Sunny,2,16,18,5,306,1,61,4771,4771,43,18,3,106339.03,27,18,9,68462.92,0.6666666666666666,0.3333333333333333
2022-04-18,Sunny,31,13,44,0,0,2,127,4617,4617,45,44,19,905850.48,277,154,123,508645.55,0.555956678700361,0.44404332129963897
2022-04-19,Sunny,27,12,39,4,241,1,60,4733,4733,42,39,20,603593.46,202,125,77,365046.4,0.6188118811881188,0.3811881188118812
2022-04-20,Sunny,25,11,36,2,120,4,249,4699,4699,42,36,20,735799.39,234,154,80,489774.65,0.6581196581196581,0.3418803418803419
2022-04-21,Sunny,21,14,35,1,60,5,313,4617,4617,46,35,16,697357.29,217,142,75,460312.57,0.6543778801843319,0.3456221198156682
2022-04-22,Sunny,21,15,36,2,120,1,60,4631,4631,46,36,18,531615.52,167,106,61,333659.04,0.6347305389221557,0.3652694610778443
2022-04-23,Sunny,7,14,21,0,0,2,124,4586,4586,47,21,8,243267.65,73,45,28,153102.65,0.6164383561643836,0.3835616438356164
2022-04-24,Sunny,2,16,18,1,60,0,0,4627,4627,48,18,2,131908.32,33,19,14,74730.04000000001,0.5757575757575758,0.42424242424242425
2022-04-25,Sunny,26,11,37,5,314,0,0,4754,4754,44,37,19,831472.78,273,187,86,566132.29,0.684981684981685,0.315018315018315
2022-04-26,Sunny,21,10,31,1,61,1,63,4681,4681,47,31,15,664625.94,213,134,79,414835.9,0.6291079812206573,0.37089201877934275
2022-04-27,Sunny,28,13,41,3,185,3,186,4703,4703,45,41,22,869332.21,275,163,112,510023.46,0.5927272727272728,0.4072727272727273
2022-04-28,Sunny,24,11,35,2,126,3,183,4682,4682,45,35,19,733582.89,233,147,86,463721.34,0.630901287553648,0.36909871244635195
2022-04-29,Sunny,20,14,34,1,66,3,190,4649,4649,45,34,15,618558.36,193,99,94,322009.48,0.5129533678756477,0.48704663212435234
2022-04-30,Sunny,6,19,25,0,0,1,61,4623,4623,47,25,7,198103.27000000002,55,26,29,95976.3,0.4727272727272727,0.5272727272727272
2022-05-01,Sunny,3,18,21,4,245,2,120,4836,4836,46,21,4,131593.22,40,32,8,108410.18,0.8,0.2
2022-05-02,Sunny,30,13,43,4,245,1,61,4934,4934,45,43,21,839522.56,274,147,127,452952.32,0.5364963503649635,0.4635036496350365
2022-05-03,Sunny,35,13,48,3,182,3,194,4914,4914,49,48,19,1065845.47,343,202,141,606425.51,0.5889212827988338,0.4110787172011662
2022-05-04,Sunny,30,14,44,1,60,3,180,4818,4818,54,44,21,843687.5,267,156,111,493850.3,0.5842696629213483,0.4157303370786517
2022-05-05,Sunny,29,15,44,1,62,3,186,4728,4728,55,44,19,836487.83,255,152,103,491411.61,0.596078431372549,0.403921568627451
2022-05-06,Sunny,25,17,42,0,0,3,182,4604,4604,58,42,20,775495.9,239,124,115,412320.18,0.5188284518828452,0.4811715481171548
2022-05-07,Sunny,8,20,28,3,181,2,123,4758,4758,56,28,7,283731.09,80,27,53,92093.64,0.3375,0.6625
2022-05-08,Sunny,3,20,23,3,182,0,0,4927,4927,54,23,4,192399.8,46,13,33,57066.11,0.2826086956521739,0.717391304347826
2022-05-09,Sunny,30,13,43,2,121,4,246,4926,4926,52,43,21,803691.89,259,122,137,376423.33,0.47104247104247104,0.528957528957529
2022-05-10,Sunny,32,13,45,1,60,5,311,4829,4829,55,45,23,978373.14,326,157,169,452250.93,0.4815950920245399,0.5184049079754601
2022-05-11,Sunny,25,13,38,1,61,4,245,4781,4781,57,38,20,749303.91,244,109,135,322316.22000000003,0.44672131147540983,0.5532786885245902
2022-05-12,Sunny,25,12,37,1,62,2,121,4752,4752,58,37,17,743680.6,233,91,142,299701.86,0.3905579399141631,0.6094420600858369
2022-05-13,Sunny,24,16,40,1,60,1,60,4686,4686,58,40,20,810126.99,256,126,130,368956.36,0.4921875,0.5078125
2022-05-14,Sunny,8,20,28,0,0,0,0,4643,4643,59,28,9,307378.74,89,43,46,142984.9,0.48314606741573035,0.5168539325842697
2022-05-15,Sunny,3,16,19,1,62,1,60,4686,4686,58,19,4,180108.22,48,19,29,69204.84,0.3958333333333333,0.6041666666666666
2022-05-16,Sunny,28,14,42,3,183,1,64,4749,4749,56,42,21,844318.56,270,120,150,374307.15,0.4444444444444444,0.5555555555555556
2022-05-17,Sunny,29,13,42,3,185,3,184,4800,4800,55,42,18,949799.1799999999,295,134,161,431557.59,0.4542372881355932,0.5457627118644067
2022-05-18,Sunny,32,15,47,3,183,2,130,4832,4832,56,47,23,948695.79,306,151,155,454972.78,0.4934640522875817,0.5065359477124183
2022-05-19,Sunny,26,13,39,0,0,0,0,4715,4715,56,39,20,764007.85,237,117,120,380058.54,0.4936708860759494,0.5063291139240507
2022-05-20,Sunny,23,14,37,3,186,0,0,4813,4813,56,37,17,732100.73,234,88,146,266174.19,0.37606837606837606,0.6239316239316239
2022-05-21,Sunny,8,21,29,2,120,2,122,4891,4891,56,29,9,317936.06,90,42,48,138827.68,0.4666666666666667,0.5333333333333333
2022-05-22,Sunny,2,19,21,2,122,1,60,4997,4997,54,21,2,163735.98,40,16,24,62479.36,0.4,0.6
2022-05-23,Sunny,28,13,41,5,308,1,64,5188,5188,51,41,22,716420.69,233,117,116,363756.2,0.5021459227467812,0.4978540772532189
2022-05-24,Sunny,30,11,41,3,187,2,121,5209,5209,51,41,19,913923.25,285,166,119,530330.67,0.5824561403508772,0.41754385964912283
2022-05-25,Sunny,32,12,44,2,125,3,188,5161,5161,50,44,23,802818.34,270,173,97,505094.09,0.6407407407407407,0.3592592592592593
2022-05-26,Sunny,23,14,37,0,0,2,125,5028,5028,51,37,17,717708.04,222,133,89,438186.26,0.5990990990990991,0.4009009009009009
2022-05-27,Sunny,22,17,39,5,308,3,189,5212,5212,50,39,14,781796.7,256,124,132,387017.28,0.484375,0.515625
2022-05-28,Sunny,8,18,26,2,121,0,0,5288,5288,48,26,8,285239.87,83,45,38,161981.79,0.5421686746987951,0.4578313253012048
2022-05-29,Sunny,3,17,20,5,306,1,60,5567,5567,45,20,4,123556.32,33,27,6,93517.94,0.8181818181818182,0.18181818181818182
2022-05-30,Sunny,29,14,43,1,65,2,123,5474,5474,46,43,21,852478.17,262,158,104,522808.84,0.6030534351145038,0.3969465648854962
2022-05-31,Sunny,31,12,43,2,125,2,123,5414,5414,46,43,21,865255.72,271,185,86,597801.63,0.6826568265682657,0.3173431734317343
2022-06-01,Sunny,28,12,40,1,61,1,61,5320,5320,47,40,19,768381.92,234,155,79,515458.07,0.6623931623931624,0.33760683760683763
2022-06-02,Sunny,24,14,38,3,191,0,0,5376,5376,46,38,19,689665.2,238,135,103,381770.1,0.5672268907563025,0.4327731092436975
2022-06-03,Sunny,20,16,36,1,60,1,60,5300,5300,48,36,19,683628.9,214,136,78,442390.01,0.6355140186915887,0.3644859813084112
2022-06-04,Sunny,8,18,26,0,0,2,120,5262,5262,48,26,9,265175.05,80,38,42,135939.14,0.475,0.525
2022-06-05,Sunny,2,15,17,2,122,0,0,5350,5350,47,17,3,175334.6,43,34,9,137241.91999999998,0.7906976744186046,0.20930232558139536
2022-06-06,Sunny,26,12,38,0,0,4,243,5203,5203,49,38,18,740977.33,244,147,97,461992.18,0.6024590163934426,0.3975409836065574
2022-06-07,Sunny,29,12,41,3,186,2,126,5219,5219,51,41,19,850514.59,265,170,95,540728.98,0.6415094339622641,0.3584905660377358
2022-06-08,Sunny,27,12,39,1,60,2,129,5121,5121,52,39,21,746088.92,245,158,87,479520.86,0.6448979591836734,0.3551020408163265
2022-06-09,Sunny,28,15,43,2,121,6,373,5064,5064,51,43,17,939070.03,290,178,112,575675.12,0.6137931034482759,0.38620689655172413
2022-06-10,Sunny,21,17,38,1,63,1,60,5034,5034,55,38,16,524172.06,168,93,75,309123.51,0.5535714285714286,0.44642857142857145
2022-06-11,Sunny,7,19,26,1,61,1,61,5046,5046,54,26,7,275861.96,81,49,32,169433.52,0.6049382716049383,0.3950617283950617
2022-06-12,Sunny,3,16,19,2,127,0,0,5158,5158,53,19,3,137782.16,39,15,24,57028.74,0.38461538461538464,0.6153846153846154
2022-06-13,Sunny,31,12,43,1,60,3,184,5039,5039,54,43,23,909392.42,301,179,122,546483.18,0.5946843853820598,0.4053156146179402
2022-06-14,Sunny,29,12,41,4,249,1,63,5155,5155,55,41,19,723802.98,224,133,91,426396.52,0.59375,0.40625
2022-06-15,Sunny,28,13,41,5,313,4,254,5325,5325,53,41,18,763069.06,238,143,95,467944.41000000003,0.6008403361344538,0.39915966386554624
2022-06-16,Sunny,24,17,41,1,60,5,315,5219,5219,54,41,17,848868.32,259,166,93,552844.96,0.640926640926641,0.3590733590733591
2022-06-17,Sunny,23,16,39,2,124,2,121,5214,5214,54,39,16,734357.11,236,129,107,395592.68,0.5466101694915254,0.4533898305084746
2022-06-18,Sunny,8,20,28,0,0,0,0,5142,5142,54,28,9,399080.27,111,72,39,264557.66,0.6486486486486487,0.35135135135135137
2022-06-19,Sunny,3,17,20,0,0,1,63,5122,5122,54,20,4,168023.29,41,20,21,83348.64,0.4878048780487805,0.5121951219512195
2022-06-20,Sunny,28,13,41,0,0,2,122,4988,4988,57,41,15,798610.68,251,134,117,440586.12,0.5338645418326693,0.46613545816733065
2022-06-21,Sunny,29,13,42,3,186,0,0,5022,5022,61,42,18,929463.01,300,152,148,467727.65,0.5066666666666667,0.49333333333333335
2022-06-22,Sunny,34,13,47,3,183,2,120,5061,5061,62,47,25,947149.27,298,144,154,458602.22,0.48322147651006714,0.5167785234899329
2022-06-23,Sunny,24,15,39,3,190,4,247,5139,5139,60,39,14,682360.94,214,112,102,362192.93,0.5233644859813084,0.4766355140186916
2022-06-24,Sunny,25,14,39,2,124,2,123,5135,5135,63,39,17,721931.28,234,128,106,387486.67,0.5470085470085471,0.452991452991453
2022-06-25,Sunny,8,18,26,2,120,1,61,5208,5208,62,26,9,290804.0,83,47,36,170655.21,0.5662650602409639,0.43373493975903615
2022-06-26,Sunny,2,17,19,1,61,2,121,5237,5237,61,19,3,171266.12,43,32,11,126697.51,0.7441860465116279,0.2558139534883721
2022-06-27,Sunny,25,11,36,3,194,1,65,5325,5325,59,36,16,639245.87,194,106,88,351998.67,0.5463917525773195,0.4536082474226804
2022-06-28,Sunny,31,12,43,3,180,2,125,5338,5338,60,43,20,959366.69,315,167,148,493421.91000000003,0.5301587301587302,0.46984126984126984
2022-06-29,Sunny,29,13,42,3,186,3,182,5418,5418,59,42,22,784215.81,260,106,154,319359.33,0.4076923076923077,0.5923076923076923
2022-06-30,Sunny,27,15,42,3,182,2,125,5421,5421,58,42,17,915639.15,285,179,106,573654.31,0.6280701754385964,0.3719298245614035
2022-07-01,Sunny,22,16,38,3,183,1,60,5513,5513,58,38,14,677857.84,194,91,103,340251.77,0.4690721649484536,0.5309278350515464
2022-07-02,Sunny,7,16,23,1,61,0,0,5548,5548,59,23,8,287856.95,78,26,52,101785.33,0.3333333333333333,0.6666666666666666
2022-07-03,Sunny,2,14,16,4,246,1,60,5755,5755,57,16,3,155564.02,47,39,8,116072.02,0.8297872340425532,0.1702127659574468
2022-07-04,Sunny,22,12,34,4,248,1,60,5896,5896,54,34,15,698004.22,240,107,133,283805.58,0.44583333333333336,0.5541666666666667
2022-07-05,Sunny,25,11,36,5,305,2,129,6062,6062,52,36,19,715970.45,229,139,90,429619.13,0.6069868995633187,0.3930131004366812
2022-07-06,Sunny,26,13,39,2,121,0,0,6045,6045,53,39,22,935145.47,291,138,153,447406.92,0.4742268041237113,0.5257731958762887
2022-07-07,Sunny,19,12,31,1,60,2,132,5990,5990,53,31,17,674568.94,216,115,101,342270.59,0.5324074074074074,0.4675925925925926
2022-07-08,Sunny,22,13,35,1,60,2,125,5946,5946,53,35,17,708427.14,223,104,119,335783.47,0.4663677130044843,0.5336322869955157
2022-07-09,Sunny,6,17,23,1,60,1,61,5978,5978,53,23,7,219945.24,64,28,36,100182.37,0.4375,0.5625
2022-07-10,Sunny,2,16,18,1,64,2,124,6015,6015,52,18,3,175090.74,40,27,13,121389.46,0.675,0.325
2022-07-11,Sunny,24,11,35,2,124,1,64,6010,6010,52,35,18,742676.79,247,129,118,381710.52,0.5222672064777328,0.4777327935222672
2022-07-12,Sunny,26,10,36,1,69,0,0,5951,5951,51,36,17,663582.01,230,128,102,359341.28,0.5565217391304348,0.4434782608695652
2022-07-13,Sunny,27,11,38,1,60,2,124,5900,5900,53,38,20,685049.84,227,111,116,339787.62,0.4889867841409692,0.5110132158590308
2022-07-14,Sunny,25,10,35,0,0,1,60,5799,5799,57,35,18,689078.82,226,101,125,309545.94,0.4469026548672566,0.5530973451327433
