product_id,sku,model_name,category,size,color,average_on_hand,average_available,minimum_available,maximum_available,ending_on_hand,ending_available,snapshot_days,stockout_days,stockout_rate
1022,SON-CAT-C-L-GR,Catalina,Cross Country,L,Granite,27.571526351813826,27.571526351813826,0,66,52,52,1461,217,0.14852840520191649
1135,SON-ORA-C-M-SS,Oracle,Enduro,M,Sunset,26.817248459958932,26.817248459958932,0,67,60,60,1461,215,0.14715947980835045
1024,SON-CAT-C-L-SK,Catalina,Cross Country,L,Sky,27.817248459958932,27.817248459958932,0,69,43,43,1461,203,0.13894592744695414
1021,SON-CAT-C-L-SS,Catalina,Cross Country,L,Sunset,27.1854893908282,27.1854893908282,0,67,22,22,1461,195,0.13347022587268995
1020,SON-CAT-C-L-SG,Catalina,Cross Country,L,Saguaro,27.89390828199863,27.89390828199863,0,67,8,8,1461,190,0.1300479123887748
1133,SON-ORA-C-M-IR,Oracle,Enduro,M,Ironwood,26.852156057494867,26.852156057494867,0,73,48,48,1461,183,0.12525667351129363
1143,SON-ORA-C-L-CY,Oracle,Enduro,L,Coyote,29.169062286105408,29.169062286105408,0,70,60,60,1461,183,0.12525667351129363
1137,SON-ORA-C-M-CY,Oracle,Enduro,M,Coyote,28.340177960301162,28.340177960301162,0,70,57,57,1461,172,0.11772758384668036
1140,SON-ORA-C-L-SG,Oracle,Enduro,L,Saguaro,29.72347707049966,29.72347707049966,0,72,41,41,1461,162,0.11088295687885011
1141,SON-ORA-C-L-SS,Oracle,Enduro,L,Sunset,29.38398357289528,29.38398357289528,0,70,5,5,1461,153,0.10472279260780287
1139,SON-ORA-C-L-IR,Oracle,Enduro,L,Ironwood,32.26078028747433,32.26078028747433,0,75,33,33,1461,149,0.10198494182067078
1134,SON-ORA-C-M-SG,Oracle,Enduro,M,Saguaro,28.071868583162217,28.071868583162217,0,75,68,68,1461,147,0.10061601642710473
1023,SON-CAT-C-L-CY,Catalina,Cross Country,L,Coyote,29.32306639288159,29.32306639288159,0,71,39,39,1461,145,0.09924709103353867
1089,SON-SAB-C-XL-CY,Sabino,Trail,XL,Coyote,32.492128678986994,32.492128678986994,0,72,69,69,1461,139,0.09514031485284052
1142,SON-ORA-C-L-GR,Oracle,Enduro,L,Granite,29.56399726214921,29.56399726214921,0,71,57,57,1461,131,0.08966461327857632
1047,SON-RIN-C-M-CY,Rincon,Downcountry,M,Coyote,33.290896646132786,33.290896646132786,0,73,27,27,1461,130,0.08898015058179329
1144,SON-ORA-C-L-SK,Oracle,Enduro,L,Sky,30.374401095140314,30.374401095140314,0,70,60,60,1461,128,0.08761122518822724
1086,SON-SAB-C-XL-SG,Sabino,Trail,XL,Saguaro,31.414784394250514,31.414784394250514,0,67,27,27,1461,108,0.07392197125256673
1048,SON-RIN-C-M-SK,Rincon,Downcountry,M,Sky,32.59958932238193,32.59958932238193,0,69,11,11,1461,108,0.07392197125256673
1044,SON-RIN-C-M-SG,Rincon,Downcountry,M,Saguaro,33.234086242299796,33.234086242299796,0,73,21,21,1461,90,0.061601642710472276
1051,SON-RIN-C-L-SS,Rincon,Downcountry,L,Sunset,34.580424366872,34.580424366872,0,70,36,36,1461,89,0.06091718001368925
1085,SON-SAB-C-XL-IR,Sabino,Trail,XL,Ironwood,33.02532511978097,33.02532511978097,0,79,65,65,1461,87,0.059548254620123205
1072,SON-SAB-C-S-SK,Sabino,Trail,S,Sky,33.31006160164271,33.31006160164271,0,75,72,72,1461,86,0.05886379192334018
1090,SON-SAB-C-XL-SK,Sabino,Trail,XL,Sky,33.97946611909651,33.97946611909651,0,74,24,24,1461,86,0.05886379192334018
1071,SON-SAB-C-S-CY,Sabino,Trail,S,Coyote,33.238193018480494,33.238193018480494,0,71,55,55,1461,83,0.0568104038329911
1087,SON-SAB-C-XL-SS,Sabino,Trail,XL,Sunset,32.318275154004105,32.318275154004105,0,72,47,47,1461,79,0.054072553045859
1045,SON-RIN-C-M-SS,Rincon,Downcountry,M,Sunset,30.698151950718685,30.698151950718685,0,68,66,66,1461,77,0.05270362765229295
1120,SON-ROM-C-XL-SK,Romero,Aggressive Trail,XL,Sky,34.696098562628336,34.696098562628336,0,77,45,45,1461,77,0.05270362765229295
1117,SON-ROM-C-XL-SS,Romero,Aggressive Trail,XL,Sunset,33.90280629705681,33.90280629705681,0,79,17,17,1461,76,0.05201916495550993
1100,SON-ROM-C-S-GR,Romero,Aggressive Trail,S,Granite,34.48254620123203,34.48254620123203,0,73,40,40,1461,75,0.0513347022587269
1043,SON-RIN-C-M-IR,Rincon,Downcountry,M,Ironwood,33.07186858316222,33.07186858316222,0,73,59,59,1461,74,0.05065023956194387
1098,SON-ROM-C-S-SG,Romero,Aggressive Trail,S,Saguaro,33.48733744010951,33.48733744010951,0,73,29,29,1461,74,0.05065023956194387
1118,SON-ROM-C-XL-GR,Romero,Aggressive Trail,XL,Granite,34.42436687200548,34.42436687200548,0,77,71,71,1461,72,0.049281314168377825
1119,SON-ROM-C-XL-CY,Romero,Aggressive Trail,XL,Coyote,32.733744010951405,32.733744010951405,0,74,12,12,1461,71,0.0485968514715948
1097,SON-ROM-C-S-IR,Romero,Aggressive Trail,S,Ironwood,33.893908281998634,33.893908281998634,0,80,39,39,1461,71,0.0485968514715948
1088,SON-SAB-C-XL-GR,Sabino,Trail,XL,Granite,32.978781656399725,32.978781656399725,0,73,35,35,1461,66,0.045174537987679675
1115,SON-ROM-C-XL-IR,Romero,Aggressive Trail,XL,Ironwood,33.65639972621492,33.65639972621492,0,74,59,59,1461,66,0.045174537987679675
1099,SON-ROM-C-S-SS,Romero,Aggressive Trail,S,Sunset,35.02532511978097,35.02532511978097,0,75,38,38,1461,66,0.045174537987679675
1070,SON-SAB-C-S-GR,Sabino,Trail,S,Granite,32.95824777549623,32.95824777549623,0,73,20,20,1461,65,0.044490075290896644
1069,SON-SAB-C-S-SS,Sabino,Trail,S,Sunset,33.2539356605065,33.2539356605065,0,75,73,73,1461,65,0.044490075290896644
1007,SON-CAT-C-S-IR,Catalina,Cross Country,S,Ironwood,35.880903490759756,35.880903490759756,0,73,73,73,1461,64,0.04380561259411362
1116,SON-ROM-C-XL-SG,Romero,Aggressive Trail,XL,Saguaro,33.139630390143736,33.139630390143736,0,73,61,61,1461,63,0.043121149897330596
1067,SON-SAB-C-S-IR,Sabino,Trail,S,Ironwood,33.17796030116359,33.17796030116359,0,72,58,58,1461,63,0.043121149897330596
1026,SON-CAT-C-XL-SG,Catalina,Cross Country,XL,Saguaro,35.46406570841889,35.46406570841889,0,76,42,42,1461,60,0.04106776180698152
1046,SON-RIN-C-M-GR,Rincon,Downcountry,M,Granite,33.85694729637235,33.85694729637235,0,71,35,35,1461,59,0.040383299110198494
1008,SON-CAT-C-S-SG,Catalina,Cross Country,S,Saguaro,35.19028062970568,35.19028062970568,0,76,49,49,1461,57,0.039014373716632446
1049,SON-RIN-C-L-IR,Rincon,Downcountry,L,Ironwood,34.02737850787132,34.02737850787132,0,77,24,24,1461,55,0.03764544832306639
1068,SON-SAB-C-S-SG,Sabino,Trail,S,Saguaro,32.130047912388775,32.130047912388775,0,70,13,13,1461,54,0.03696098562628337
1101,SON-ROM-C-S-CY,Romero,Aggressive Trail,S,Coyote,34.58110882956879,34.58110882956879,0,77,28,28,1461,53,0.03627652292950034
1102,SON-ROM-C-S-SK,Romero,Aggressive Trail,S,Sky,32.73100616016427,32.73100616016427,0,72,55,55,1461,50,0.034223134839151265
1011,SON-CAT-C-S-CY,Catalina,Cross Country,S,Coyote,35.6570841889117,35.6570841889117,0,74,31,31,1461,49,0.03353867214236824
1053,SON-RIN-C-L-CY,Rincon,Downcountry,L,Coyote,34.75290896646133,34.75290896646133,0,71,65,65,1461,47,0.03216974674880219
1052,SON-RIN-C-L-GR,Rincon,Downcountry,L,Granite,36.80082135523614,36.80082135523614,0,79,43,43,1461,46,0.03148528405201916
1050,SON-RIN-C-L-SG,Rincon,Downcountry,L,Saguaro,35.498288843258045,35.498288843258045,0,77,56,56,1461,43,0.02943189596167009
1054,SON-RIN-C-L-SK,Rincon,Downcountry,L,Sky,35.591375770020534,35.591375770020534,0,73,20,20,1461,41,0.02806297056810404
1025,SON-CAT-C-XL-IR,Catalina,Cross Country,XL,Ironwood,36.936344969199176,36.936344969199176,0,75,47,47,1461,34,0.02327173169062286
1030,SON-CAT-C-XL-SK,Catalina,Cross Country,XL,Sky,36.596851471594796,36.596851471594796,0,75,34,34,1461,32,0.02190280629705681
1009,SON-CAT-C-S-SS,Catalina,Cross Country,S,Sunset,35.41067761806981,35.41067761806981,0,69,39,39,1461,30,0.02053388090349076
1149,SON-ORA-C-XL-CY,Oracle,Enduro,XL,Coyote,35.94866529774127,35.94866529774127,0,77,66,66,1461,27,0.018480492813141684
1146,SON-ORA-C-XL-SG,Oracle,Enduro,XL,Saguaro,36.77138945927447,36.77138945927447,0,76,49,49,1461,27,0.018480492813141684
1027,SON-CAT-C-XL-SS,Catalina,Cross Country,XL,Sunset,37.959616700889804,37.959616700889804,0,77,51,51,1461,26,0.01779603011635866
1028,SON-CAT-C-XL-GR,Catalina,Cross Country,XL,Granite,36.18480492813142,36.18480492813142,0,73,39,39,1461,25,0.017111567419575632
1150,SON-ORA-C-XL-SK,Oracle,Enduro,XL,Sky,40.078028747433265,40.078028747433265,0,77,30,30,1461,21,0.014373716632443531
1197,SON-SON-A-M-CY,Sonoita,Gravel,M,Coyote,44.662559890485966,44.662559890485966,0,76,40,40,1461,21,0.014373716632443531
1147,SON-ORA-C-XL-SS,Oracle,Enduro,XL,Sunset,38.51813826146475,38.51813826146475,0,78,68,68,1461,20,0.013689253935660506
1132,SON-ORA-C-S-SK,Oracle,Enduro,S,Sky,38.07118412046543,38.07118412046543,0,74,40,40,1461,19,0.013004791238877482
1029,SON-CAT-C-XL-CY,Catalina,Cross Country,XL,Coyote,36.37713894592745,36.37713894592745,0,78,71,71,1461,18,0.012320328542094456
1012,SON-CAT-C-S-SK,Catalina,Cross Country,S,Sky,37.90417522245038,37.90417522245038,0,75,71,71,1461,17,0.01163586584531143
1201,SON-SON-A-L-SS,Sonoita,Gravel,L,Sunset,41.58521560574949,41.58521560574949,0,76,63,63,1461,16,0.010951403148528405
1127,SON-ORA-C-S-IR,Oracle,Enduro,S,Ironwood,37.31553730321698,37.31553730321698,0,76,67,67,1461,13,0.00889801505817933
1128,SON-ORA-C-S-SG,Oracle,Enduro,S,Saguaro,35.90280629705681,35.90280629705681,0,70,47,47,1461,12,0.008213552361396304
1168,SON-SKY-C-M-SK,Sky Island,eMTB,M,Sky,42.26557152635181,42.26557152635181,0,77,54,54,1461,12,0.008213552361396304
1131,SON-ORA-C-S-CY,Oracle,Enduro,S,Coyote,38.37645448323067,38.37645448323067,0,76,48,48,1461,10,0.006844626967830253
1163,SON-SKY-C-M-IR,Sky Island,eMTB,M,Ironwood,39.50513347022587,39.50513347022587,0,77,74,74,1461,10,0.006844626967830253
1174,SON-SKY-C-L-SK,Sky Island,eMTB,L,Sky,43.71594798083505,43.71594798083505,0,78,58,58,1461,10,0.006844626967830253
1145,SON-ORA-C-XL-IR,Oracle,Enduro,XL,Ironwood,36.59548254620123,36.59548254620123,0,77,46,46,1461,9,0.006160164271047228
1056,SON-RIN-C-XL-SG,Rincon,Downcountry,XL,Saguaro,38.98083504449008,38.98083504449008,0,74,30,30,1461,9,0.006160164271047228
1194,SON-SON-A-M-SG,Sonoita,Gravel,M,Saguaro,39.33607118412046,39.33607118412046,0,78,55,55,1461,9,0.006160164271047228
1164,SON-SKY-C-M-SG,Sky Island,eMTB,M,Saguaro,39.360711841204655,39.360711841204655,0,76,55,55,1461,9,0.006160164271047228
1096,SON-ROM-C-XS-SK,Romero,Aggressive Trail,XS,Sky,42.93360711841205,42.93360711841205,0,79,79,79,1461,9,0.006160164271047228
1167,SON-SKY-C-M-CY,Sky Island,eMTB,M,Coyote,43.822724161533195,43.822724161533195,0,76,53,53,1461,9,0.006160164271047228
1037,SON-RIN-C-S-IR,Rincon,Downcountry,S,Ironwood,40.214236824093085,40.214236824093085,0,76,21,21,1461,8,0.0054757015742642025
1042,SON-RIN-C-S-SK,Rincon,Downcountry,S,Sky,44.5284052019165,44.5284052019165,0,78,54,54,1461,8,0.0054757015742642025
1165,SON-SKY-C-M-SS,Sky Island,eMTB,M,Sunset,38.96167008898015,38.96167008898015,0,77,15,15,1461,7,0.004791238877481177
1148,SON-ORA-C-XL-GR,Oracle,Enduro,XL,Granite,38.362765229295,38.362765229295,0,78,47,47,1461,6,0.004106776180698152
1196,SON-SON-A-M-GR,Sonoita,Gravel,M,Granite,41.403832991101986,41.403832991101986,0,76,58,58,1461,6,0.004106776180698152
1129,SON-ORA-C-S-SS,Oracle,Enduro,S,Sunset,40.82683093771389,40.82683093771389,0,78,59,59,1461,5,0.0034223134839151265
1166,SON-SKY-C-M-GR,Sky Island,eMTB,M,Granite,39.37782340862423,39.37782340862423,0,74,39,39,1461,3,0.002053388090349076
1055,SON-RIN-C-XL-IR,Rincon,Downcountry,XL,Ironwood,43.37782340862423,43.37782340862423,0,76,58,58,1461,3,0.002053388090349076
1173,SON-SKY-C-L-CY,Sky Island,eMTB,L,Coyote,43.88569472963724,43.88569472963724,0,79,58,58,1461,3,0.002053388090349076
1130,SON-ORA-C-S-GR,Oracle,Enduro,S,Granite,38.82546201232033,38.82546201232033,0,76,57,57,1461,2,0.0013689253935660506
1038,SON-RIN-C-S-SG,Rincon,Downcountry,S,Saguaro,41.41067761806981,41.41067761806981,0,79,78,78,1461,2,0.0013689253935660506
1039,SON-RIN-C-S-SS,Rincon,Downcountry,S,Sunset,40.00479123887748,40.00479123887748,0,77,27,27,1461,1,0.0006844626967830253
1193,SON-SON-A-M-IR,Sonoita,Gravel,M,Ironwood,40.60643394934976,40.60643394934976,0,75,61,61,1461,1,0.0006844626967830253
1169,SON-SKY-C-L-IR,Sky Island,eMTB,L,Ironwood,43.24503764544832,43.24503764544832,0,79,21,21,1461,1,0.0006844626967830253
1058,SON-RIN-C-XL-GR,Rincon,Downcountry,XL,Granite,37.63107460643395,37.63107460643395,1,74,21,21,1461,0,0.0
1010,SON-CAT-C-S-GR,Catalina,Cross Country,S,Granite,38.5605749486653,38.5605749486653,1,73,36,36,1461,0,0.0
1040,SON-RIN-C-S-GR,Rincon,Downcountry,S,Granite,40.06776180698152,40.06776180698152,7,75,46,46,1461,0,0.0
1062,SON-SAB-C-XS-SG,Sabino,Trail,XS,Saguaro,40.17453798767967,40.17453798767967,6,80,19,19,1461,0,0.0
1198,SON-SON-A-M-SK,Sonoita,Gravel,M,Sky,40.99657768651608,40.99657768651608,7,76,74,74,1461,0,0.0
1057,SON-RIN-C-XL-SS,Rincon,Downcountry,XL,Sunset,41.02053388090349,41.02053388090349,8,77,67,67,1461,0,0.0
1202,SON-SON-A-L-GR,Sonoita,Gravel,L,Granite,41.168377823408626,41.168377823408626,1,79,74,74,1461,0,0.0
1200,SON-SON-A-L-SG,Sonoita,Gravel,L,Saguaro,41.31006160164271,41.31006160164271,9,76,38,38,1461,0,0.0
1003,SON-CAT-C-XS-SS,Catalina,Cross Country,XS,Sunset,41.38740588637919,41.38740588637919,9,77,33,33,1461,0,0.0
1060,SON-RIN-C-XL-SK,Rincon,Downcountry,XL,Sky,41.676933607118414,41.676933607118414,3,78,18,18,1461,0,0.0
1002,SON-CAT-C-XS-SG,Catalina,Cross Country,XS,Saguaro,41.997262149212865,41.997262149212865,4,78,25,25,1461,0,0.0
1175,SON-SKY-C-XL-IR,Sky Island,eMTB,XL,Ironwood,42.08418891170431,42.08418891170431,9,80,27,27,1461,0,0.0
1005,SON-CAT-C-XS-CY,Catalina,Cross Country,XS,Coyote,42.14168377823409,42.14168377823409,14,79,35,35,1461,0,0.0
1065,SON-SAB-C-XS-CY,Sabino,Trail,XS,Coyote,42.23682409308692,42.23682409308692,6,77,30,30,1461,0,0.0
1171,SON-SKY-C-L-SS,Sky Island,eMTB,L,Sunset,42.394250513347025,42.394250513347025,5,80,22,22,1461,0,0.0
1181,SON-SON-A-XS-IR,Sonoita,Gravel,XS,Ironwood,42.59342915811088,42.59342915811088,18,79,77,77,1461,0,0.0
1041,SON-RIN-C-S-CY,Rincon,Downcountry,S,Coyote,42.68856947296372,42.68856947296372,5,78,26,26,1461,0,0.0
1157,SON-SKY-C-S-IR,Sky Island,eMTB,S,Ironwood,42.78370978781656,42.78370978781656,12,79,62,62,1461,0,0.0
1210,SON-SON-A-XL-SK,Sonoita,Gravel,XL,Sky,42.83572895277207,42.83572895277207,13,78,66,66,1461,0,0.0
1208,SON-SON-A-XL-GR,Sonoita,Gravel,XL,Granite,42.8911704312115,42.8911704312115,6,79,54,54,1461,0,0.0
1179,SON-SKY-C-XL-CY,Sky Island,eMTB,XL,Coyote,42.94387405886379,42.94387405886379,8,78,61,61,1461,0,0.0
1170,SON-SKY-C-L-SG,Sky Island,eMTB,L,Saguaro,43.00684462696783,43.00684462696783,7,80,69,69,1461,0,0.0
1091,SON-ROM-C-XS-IR,Romero,Aggressive Trail,XS,Ironwood,43.08555783709788,43.08555783709788,3,79,75,75,1461,0,0.0
1158,SON-SKY-C-S-SG,Sky Island,eMTB,S,Saguaro,43.22724161533196,43.22724161533196,9,79,76,76,1461,0,0.0
1095,SON-ROM-C-XS-CY,Romero,Aggressive Trail,XS,Coyote,43.26967830253251,43.26967830253251,4,80,30,30,1461,0,0.0
1195,SON-SON-A-M-SS,Sonoita,Gravel,M,Sunset,43.3305954825462,43.3305954825462,9,79,74,74,1461,0,0.0
1122,SON-ORA-C-XS-SG,Oracle,Enduro,XS,Saguaro,43.38124572210815,43.38124572210815,15,79,18,18,1461,0,0.0
1125,SON-ORA-C-XS-CY,Oracle,Enduro,XS,Coyote,43.49075975359343,43.49075975359343,10,77,75,75,1461,0,0.0
1160,SON-SKY-C-S-GR,Sky Island,eMTB,S,Granite,43.53798767967146,43.53798767967146,14,77,23,23,1461,0,0.0
1162,SON-SKY-C-S-SK,Sky Island,eMTB,S,Sky,43.55783709787816,43.55783709787816,10,77,11,11,1461,0,0.0
1066,SON-SAB-C-XS-SK,Sabino,Trail,XS,Sky,43.81587953456537,43.81587953456537,10,80,43,43,1461,0,0.0
1204,SON-SON-A-L-SK,Sonoita,Gravel,L,Sky,43.92607802874743,43.92607802874743,4,76,61,61,1461,0,0.0
1063,SON-SAB-C-XS-SS,Sabino,Trail,XS,Sunset,43.99520876112252,43.99520876112252,7,78,25,25,1461,0,0.0
1188,SON-SON-A-S-SG,Sonoita,Gravel,S,Saguaro,44.11362080766598,44.11362080766598,11,78,63,63,1461,0,0.0
1094,SON-ROM-C-XS-GR,Romero,Aggressive Trail,XS,Granite,44.3066392881588,44.3066392881588,4,78,54,54,1461,0,0.0
1203,SON-SON-A-L-CY,Sonoita,Gravel,L,Coyote,44.43258042436687,44.43258042436687,6,78,56,56,1461,0,0.0
1059,SON-RIN-C-XL-CY,Rincon,Downcountry,XL,Coyote,44.58316221765914,44.58316221765914,9,77,50,50,1461,0,0.0
1176,SON-SKY-C-XL-SG,Sky Island,eMTB,XL,Saguaro,44.6933607118412,44.6933607118412,5,80,64,64,1461,0,0.0
1034,SON-RIN-C-XS-GR,Rincon,Downcountry,XS,Granite,44.70362765229295,44.70362765229295,18,79,75,75,1461,0,0.0
1172,SON-SKY-C-L-GR,Sky Island,eMTB,L,Granite,44.824093086926766,44.824093086926766,5,79,54,54,1461,0,0.0
1199,SON-SON-A-L-IR,Sonoita,Gravel,L,Ironwood,44.865160848733744,44.865160848733744,5,77,32,32,1461,0,0.0
1182,SON-SON-A-XS-SG,Sonoita,Gravel,XS,Saguaro,44.90896646132786,44.90896646132786,18,80,19,19,1461,0,0.0
1064,SON-SAB-C-XS-GR,Sabino,Trail,XS,Granite,45.00889801505818,45.00889801505818,9,78,24,24,1461,0,0.0
1192,SON-SON-A-S-SK,Sonoita,Gravel,S,Sky,45.02395619438741,45.02395619438741,11,78,75,75,1461,0,0.0
1159,SON-SKY-C-S-SS,Sky Island,eMTB,S,Sunset,45.163586584531146,45.163586584531146,12,80,66,66,1461,0,0.0
1186,SON-SON-A-XS-SK,Sonoita,Gravel,XS,Sky,45.23545516769336,45.23545516769336,15,77,52,52,1461,0,0.0
1177,SON-SKY-C-XL-SS,Sky Island,eMTB,XL,Sunset,45.54620123203286,45.54620123203286,8,79,30,30,1461,0,0.0
1061,SON-SAB-C-XS-IR,Sabino,Trail,XS,Ironwood,45.57152635181382,45.57152635181382,9,76,40,40,1461,0,0.0
1121,SON-ORA-C-XS-IR,Oracle,Enduro,XS,Ironwood,45.648870636550306,45.648870636550306,10,80,50,50,1461,0,0.0
1123,SON-ORA-C-XS-SS,Oracle,Enduro,XS,Sunset,46.00479123887748,46.00479123887748,14,80,60,60,1461,0,0.0
1001,SON-CAT-C-XS-IR,Catalina,Cross Country,XS,Ironwood,46.03764544832307,46.03764544832307,14,80,69,69,1461,0,0.0
1151,SON-SKY-C-XS-IR,Sky Island,eMTB,XS,Ironwood,46.22108145106092,46.22108145106092,18,80,69,69,1461,0,0.0
1191,SON-SON-A-S-CY,Sonoita,Gravel,S,Coyote,46.2217659137577,46.2217659137577,15,76,15,15,1461,0,0.0
1190,SON-SON-A-S-GR,Sonoita,Gravel,S,Granite,46.25051334702259,46.25051334702259,5,80,30,30,1461,0,0.0
1189,SON-SON-A-S-SS,Sonoita,Gravel,S,Sunset,46.446269678302535,46.446269678302535,11,80,53,53,1461,0,0.0
1206,SON-SON-A-XL-SG,Sonoita,Gravel,XL,Saguaro,46.46132785763176,46.46132785763176,15,77,70,70,1461,0,0.0
1031,SON-RIN-C-XS-IR,Rincon,Downcountry,XS,Ironwood,46.49897330595483,46.49897330595483,13,79,71,71,1461,0,0.0
1006,SON-CAT-C-XS-SK,Catalina,Cross Country,XS,Sky,46.62765229295003,46.62765229295003,7,80,24,24,1461,0,0.0
1187,SON-SON-A-S-IR,Sonoita,Gravel,S,Ironwood,46.6290212183436,46.6290212183436,14,80,25,25,1461,0,0.0
1126,SON-ORA-C-XS-SK,Oracle,Enduro,XS,Sky,46.70088980150582,46.70088980150582,11,80,27,27,1461,0,0.0
1180,SON-SKY-C-XL-SK,Sky Island,eMTB,XL,Sky,47.14236824093087,47.14236824093087,9,78,64,64,1461,0,0.0
1036,SON-RIN-C-XS-SK,Rincon,Downcountry,XS,Sky,47.50034223134839,47.50034223134839,10,75,49,49,1461,0,0.0
1092,SON-ROM-C-XS-SG,Romero,Aggressive Trail,XS,Saguaro,47.681724845995895,47.681724845995895,9,80,61,61,1461,0,0.0
1153,SON-SKY-C-XS-SS,Sky Island,eMTB,XS,Sunset,47.73921971252567,47.73921971252567,17,80,67,67,1461,0,0.0
1093,SON-ROM-C-XS-SS,Romero,Aggressive Trail,XS,Sunset,47.93976728268309,47.93976728268309,10,80,54,54,1461,0,0.0
