forecast_month,product_id,model_name,category,lookback_months,forecast_qty,actual_qty,forecast_error,absolute_error,absolute_percentage_error,seasonality_adjustment
2025-05-01,1004,Catalina,Cross Country,3,8,10,2,2,0.2,1.473
2025-06-01,1004,Catalina,Cross Country,3,8,3,-5,5,1.6666666666666667,1.13
2025-07-01,1004,Catalina,Cross Country,3,6,5,-1,1,0.2,0.896
2025-08-01,1004,Catalina,Cross Country,3,5,4,-1,1,0.25,0.789
2025-09-01,1004,Catalina,Cross Country,3,3,8,5,5,0.625,0.783
2025-10-01,1004,Catalina,Cross Country,3,4,10,6,6,0.6,0.738
2025-11-01,1004,Catalina,Cross Country,3,7,0,-7,7,,0.906
2025-12-01,1004,Catalina,Cross Country,3,4,1,-3,3,3.0,0.735
2022-04-01,1005,Catalina,Cross Country,3,2,8,6,6,0.75,1.714
2022-05-01,1005,Catalina,Cross Country,3,6,12,6,6,0.5,1.473
2022-06-01,1005,Catalina,Cross Country,3,8,6,-2,2,0.3333333333333333,1.13
2022-07-01,1005,Catalina,Cross Country,3,8,4,-4,4,1.0,0.896
2022-08-01,1005,Catalina,Cross Country,3,6,7,1,1,0.14285714285714285,0.789
2022-09-01,1005,Catalina,Cross Country,3,4,5,1,1,0.2,0.783
2022-10-01,1005,Catalina,Cross Country,3,4,3,-1,1,0.3333333333333333,0.738
2022-11-01,1005,Catalina,Cross Country,3,5,1,-4,4,4.0,0.906
2022-12-01,1005,Catalina,Cross Country,3,2,5,3,3,0.6,0.735
2023-01-01,1005,Catalina,Cross Country,3,2,0,-2,2,,0.767
2023-02-01,1005,Catalina,Cross Country,3,2,0,-2,2,,1.0
2023-03-01,1005,Catalina,Cross Country,3,2,3,1,1,0.3333333333333333,1.5
2023-04-01,1005,Catalina,Cross Country,3,2,0,-2,2,,1.714
2023-05-01,1005,Catalina,Cross Country,3,1,8,7,7,0.875,1.473
2023-06-01,1005,Catalina,Cross Country,3,4,6,2,2,0.3333333333333333,1.13
2023-07-01,1005,Catalina,Cross Country,3,4,11,7,7,0.6363636363636364,0.896
2023-08-01,1005,Catalina,Cross Country,3,7,8,1,1,0.125,0.789
2023-09-01,1005,Catalina,Cross Country,3,7,6,-1,1,0.16666666666666666,0.783
2023-10-01,1005,Catalina,Cross Country,3,6,2,-4,4,2.0,0.738
2023-11-01,1005,Catalina,Cross Country,3,5,1,-4,4,4.0,0.906
2023-12-01,1005,Catalina,Cross Country,3,2,5,3,3,0.6,0.735
2024-01-01,1005,Catalina,Cross Country,3,2,2,0,0,0.0,0.767
2024-02-01,1005,Catalina,Cross Country,3,3,0,-3,3,,1.0
2024-03-01,1005,Catalina,Cross Country,3,4,10,6,6,0.6,1.5
2024-04-01,1005,Catalina,Cross Country,3,7,2,-5,5,2.5,1.714
2024-05-01,1005,Catalina,Cross Country,3,6,6,0,0,0.0,1.473
2024-06-01,1005,Catalina,Cross Country,3,7,6,-1,1,0.16666666666666666,1.13
2024-07-01,1005,Catalina,Cross Country,3,4,6,2,2,0.3333333333333333,0.896
2024-08-01,1005,Catalina,Cross Country,3,5,2,-3,3,1.5,0.789
2024-09-01,1005,Catalina,Cross Country,3,4,0,-4,4,,0.783
2024-10-01,1005,Catalina,Cross Country,3,2,2,0,0,0.0,0.738
2024-11-01,1005,Catalina,Cross Country,3,1,10,9,9,0.9,0.906
2024-12-01,1005,Catalina,Cross Country,3,3,4,1,1,0.25,0.735
2025-01-01,1005,Catalina,Cross Country,3,4,1,-3,3,3.0,0.767
2025-02-01,1005,Catalina,Cross Country,3,5,3,-2,2,0.6666666666666666,1.0
2025-03-01,1005,Catalina,Cross Country,3,4,3,-1,1,0.3333333333333333,1.5
2025-04-01,1005,Catalina,Cross Country,3,4,5,1,1,0.2,1.714
2025-05-01,1005,Catalina,Cross Country,3,5,6,1,1,0.16666666666666666,1.473
2025-06-01,1005,Catalina,Cross Country,3,5,10,5,5,0.5,1.13
2025-07-01,1005,Catalina,Cross Country,3,6,4,-2,2,0.5,0.896
2025-08-01,1005,Catalina,Cross Country,3,5,11,6,6,0.5454545454545454,0.789
2025-09-01,1005,Catalina,Cross Country,3,7,9,2,2,0.2222222222222222,0.783
2025-10-01,1005,Catalina,Cross Country,3,6,3,-3,3,1.0,0.738
2025-11-01,1005,Catalina,Cross Country,3,7,0,-7,7,,0.906
2025-12-01,1005,Catalina,Cross Country,3,3,0,-3,3,,0.735
2022-04-01,1006,Catalina,Cross Country,3,7,8,1,1,0.125,1.714
2022-05-01,1006,Catalina,Cross Country,3,9,3,-6,6,2.0,1.473
2022-06-01,1006,Catalina,Cross Country,3,5,1,-4,4,4.0,1.13
2022-07-01,1006,Catalina,Cross Country,3,4,2,-2,2,1.0,0.896
2022-08-01,1006,Catalina,Cross Country,3,2,3,1,1,0.3333333333333333,0.789
2022-09-01,1006,Catalina,Cross Country,3,2,2,0,0,0.0,0.783
2022-10-01,1006,Catalina,Cross Country,3,2,3,1,1,0.3333333333333333,0.738
2022-11-01,1006,Catalina,Cross Country,3,2,0,-2,2,,0.906
2022-12-01,1006,Catalina,Cross Country,3,1,5,4,4,0.8,0.735
2023-01-01,1006,Catalina,Cross Country,3,2,1,-1,1,1.0,0.767
2023-02-01,1006,Catalina,Cross Country,3,2,2,0,0,0.0,1.0
2023-03-01,1006,Catalina,Cross Country,3,4,5,1,1,0.2,1.5
2023-04-01,1006,Catalina,Cross Country,3,5,12,7,7,0.5833333333333334,1.714
2023-05-01,1006,Catalina,Cross Country,3,9,5,-4,4,0.8,1.473
2023-06-01,1006,Catalina,Cross Country,3,8,5,-3,3,0.6,1.13
2023-07-01,1006,Catalina,Cross Country,3,7,5,-2,2,0.4,0.896
2023-08-01,1006,Catalina,Cross Country,3,4,13,9,9,0.6923076923076923,0.789
2023-09-01,1006,Catalina,Cross Country,3,6,5,-1,1,0.2,0.783
2023-10-01,1006,Catalina,Cross Country,3,6,1,-5,5,5.0,0.738
2023-11-01,1006,Catalina,Cross Country,3,6,4,-2,2,0.5,0.906
2023-12-01,1006,Catalina,Cross Country,3,2,0,-2,2,,0.735
2024-01-01,1006,Catalina,Cross Country,3,1,7,6,6,0.8571428571428571,0.767
2024-02-01,1006,Catalina,Cross Country,3,4,2,-2,2,1.0,1.0
2024-03-01,1006,Catalina,Cross Country,3,4,1,-3,3,3.0,1.5
2024-04-01,1006,Catalina,Cross Country,3,6,2,-4,4,2.0,1.714
2024-05-01,1006,Catalina,Cross Country,3,2,2,0,0,0.0,1.473
2024-06-01,1006,Catalina,Cross Country,3,2,4,2,2,0.5,1.13
2024-07-01,1006,Catalina,Cross Country,3,2,9,7,7,0.7777777777777778,0.896
2024-08-01,1006,Catalina,Cross Country,3,4,5,1,1,0.2,0.789
2024-09-01,1006,Catalina,Cross Country,3,5,6,1,1,0.16666666666666666,0.783
2024-10-01,1006,Catalina,Cross Country,3,5,6,1,1,0.16666666666666666,0.738
2024-11-01,1006,Catalina,Cross Country,3,5,1,-4,4,4.0,0.906
2024-12-01,1006,Catalina,Cross Country,3,3,6,3,3,0.5,0.735
2025-01-01,1006,Catalina,Cross Country,3,3,0,-3,3,,0.767
2025-02-01,1006,Catalina,Cross Country,3,2,4,2,2,0.5,1.0
2025-03-01,1006,Catalina,Cross Country,3,5,0,-5,5,,1.5
2025-04-01,1006,Catalina,Cross Country,3,2,9,7,7,0.7777777777777778,1.714
2025-05-01,1006,Catalina,Cross Country,3,6,5,-1,1,0.2,1.473
2025-06-01,1006,Catalina,Cross Country,3,5,10,5,5,0.5,1.13
2025-07-01,1006,Catalina,Cross Country,3,7,9,2,2,0.2222222222222222,0.896
2025-08-01,1006,Catalina,Cross Country,3,6,16,10,10,0.625,0.789
2025-09-01,1006,Catalina,Cross Country,3,9,10,1,1,0.1,0.783
2025-10-01,1006,Catalina,Cross Country,3,9,3,-6,6,2.0,0.738
2025-11-01,1006,Catalina,Cross Country,3,9,6,-3,3,0.5,0.906
2025-12-01,1006,Catalina,Cross Country,3,5,0,-5,5,,0.735
2022-04-01,1007,Catalina,Cross Country,3,18,32,14,14,0.4375,1.714
2022-05-01,1007,Catalina,Cross Country,3,24,32,8,8,0.25,1.473
2022-06-01,1007,Catalina,Cross Country,3,29,17,-12,12,0.7058823529411765,1.13
2022-07-01,1007,Catalina,Cross Country,3,24,17,-7,7,0.4117647058823529,0.896
2022-08-01,1007,Catalina,Cross Country,3,17,17,0,0,0.0,0.789
2022-09-01,1007,Catalina,Cross Country,3,13,22,9,9,0.4090909090909091,0.783
2022-10-01,1007,Catalina,Cross Country,3,14,10,-4,4,0.4,0.738
2022-11-01,1007,Catalina,Cross Country,3,15,6,-9,9,1.5,0.906
2022-12-01,1007,Catalina,Cross Country,3,9,14,5,5,0.35714285714285715,0.735
2023-01-01,1007,Catalina,Cross Country,3,8,12,4,4,0.3333333333333333,0.767
2023-02-01,1007,Catalina,Cross Country,3,11,3,-8,8,2.6666666666666665,1.0
2023-03-01,1007,Catalina,Cross Country,3,14,9,-5,5,0.5555555555555556,1.5
2023-04-01,1007,Catalina,Cross Country,3,14,20,6,6,0.3,1.714
2023-05-01,1007,Catalina,Cross Country,3,16,24,8,8,0.3333333333333333,1.473
2023-06-01,1007,Catalina,Cross Country,3,20,23,3,3,0.13043478260869565,1.13
2023-07-01,1007,Catalina,Cross Country,3,20,15,-5,5,0.3333333333333333,0.896
2023-08-01,1007,Catalina,Cross Country,3,16,16,0,0,0.0,0.789
2023-09-01,1007,Catalina,Cross Country,3,14,29,15,15,0.5172413793103449,0.783
2023-10-01,1007,Catalina,Cross Country,3,15,12,-3,3,0.25,0.738
2023-11-01,1007,Catalina,Cross Country,3,17,6,-11,11,1.8333333333333333,0.906
2023-12-01,1007,Catalina,Cross Country,3,12,25,13,13,0.52,0.735
2024-01-01,1007,Catalina,Cross Country,3,11,10,-1,1,0.1,0.767
2024-02-01,1007,Catalina,Cross Country,3,14,16,2,2,0.125,1.0
2024-03-01,1007,Catalina,Cross Country,3,26,9,-17,17,1.8888888888888888,1.5
2024-04-01,1007,Catalina,Cross Country,3,20,10,-10,10,1.0,1.714
2024-05-01,1007,Catalina,Cross Country,3,17,20,3,3,0.15,1.473
2024-06-01,1007,Catalina,Cross Country,3,15,21,6,6,0.2857142857142857,1.13
2024-07-01,1007,Catalina,Cross Country,3,15,7,-8,8,1.1428571428571428,0.896
2024-08-01,1007,Catalina,Cross Country,3,13,13,0,0,0.0,0.789
2024-09-01,1007,Catalina,Cross Country,3,11,16,5,5,0.3125,0.783
2024-10-01,1007,Catalina,Cross Country,3,9,5,-4,4,0.8,0.738
2024-11-01,1007,Catalina,Cross Country,3,10,12,2,2,0.16666666666666666,0.906
2024-12-01,1007,Catalina,Cross Country,3,8,7,-1,1,0.14285714285714285,0.735
2025-01-01,1007,Catalina,Cross Country,3,6,9,3,3,0.3333333333333333,0.767
2025-02-01,1007,Catalina,Cross Country,3,9,8,-1,1,0.125,1.0
2025-03-01,1007,Catalina,Cross Country,3,12,12,0,0,0.0,1.5
2025-04-01,1007,Catalina,Cross Country,3,17,27,10,10,0.37037037037037035,1.714
2025-05-01,1007,Catalina,Cross Country,3,23,17,-6,6,0.35294117647058826,1.473
2025-06-01,1007,Catalina,Cross Country,3,21,14,-7,7,0.5,1.13
2025-07-01,1007,Catalina,Cross Country,3,17,37,20,20,0.5405405405405406,0.896
2025-08-01,1007,Catalina,Cross Country,3,18,26,8,8,0.3076923076923077,0.789
2025-09-01,1007,Catalina,Cross Country,3,20,15,-5,5,0.3333333333333333,0.783
2025-10-01,1007,Catalina,Cross Country,3,19,20,1,1,0.05,0.738
2025-11-01,1007,Catalina,Cross Country,3,18,14,-4,4,0.2857142857142857,0.906
2025-12-01,1007,Catalina,Cross Country,3,12,7,-5,5,0.7142857142857143,0.735
2022-04-01,1008,Catalina,Cross Country,3,13,11,-2,2,0.18181818181818182,1.714
2022-05-01,1008,Catalina,Cross Country,3,10,24,14,14,0.5833333333333334,1.473
2022-06-01,1008,Catalina,Cross Country,3,17,22,5,5,0.22727272727272727,1.13
2022-07-01,1008,Catalina,Cross Country,3,17,9,-8,8,0.8888888888888888,0.896
2022-08-01,1008,Catalina,Cross Country,3,14,23,9,9,0.391304347826087,0.789
2022-09-01,1008,Catalina,Cross Country,3,14,20,6,6,0.3,0.783
2022-10-01,1008,Catalina,Cross Country,3,13,11,-2,2,0.18181818181818182,0.738
2022-11-01,1008,Catalina,Cross Country,3,16,14,-2,2,0.14285714285714285,0.906
2022-12-01,1008,Catalina,Cross Country,3,11,5,-6,6,1.2,0.735
2023-01-01,1008,Catalina,Cross Country,3,8,11,3,3,0.2727272727272727,0.767
2023-02-01,1008,Catalina,Cross Country,3,10,15,5,5,0.3333333333333333,1.0
2023-03-01,1008,Catalina,Cross Country,3,16,13,-3,3,0.23076923076923078,1.5
2023-04-01,1008,Catalina,Cross Country,3,22,17,-5,5,0.29411764705882354,1.714
2023-05-01,1008,Catalina,Cross Country,3,22,35,13,13,0.37142857142857144,1.473
2023-06-01,1008,Catalina,Cross Country,3,24,18,-6,6,0.3333333333333333,1.13
2023-07-01,1008,Catalina,Cross Country,3,21,21,0,0,0.0,0.896
2023-08-01,1008,Catalina,Cross Country,3,19,13,-6,6,0.46153846153846156,0.789
2023-09-01,1008,Catalina,Cross Country,3,14,21,7,7,0.3333333333333333,0.783
2023-10-01,1008,Catalina,Cross Country,3,14,21,7,7,0.3333333333333333,0.738
2023-11-01,1008,Catalina,Cross Country,3,17,6,-11,11,1.8333333333333333,0.906
2023-12-01,1008,Catalina,Cross Country,3,12,8,-4,4,0.5,0.735
