sales_order_id,order_date,customer_id,customer_name,sales_channel,order_status,payment_terms,warehouse,order_total
SO100024,2022-01-03,C0018,High Country Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,16237.1
SO100025,2022-01-03,C0024,Teton Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,31192.85
SO100026,2022-01-03,C0004,Sonoran Bike Co.,Dealer,Booked,Net 30,Phoenix Distribution Center,38804.56
SO100027,2022-01-03,C0034,Green Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,25413.18
SO100028,2022-01-03,C0018,High Country Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,25283.36
SO100029,2022-01-03,C0010,Evergreen Cyclery,Dealer,Booked,Net 45,Phoenix Distribution Center,17220.78
SO100030,2022-01-03,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3499.0
SO100031,2022-01-03,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100032,2022-01-03,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100033,2022-01-03,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100034,2022-01-03,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100035,2022-01-04,C0009,Las Cruces Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,48285.25
SO100036,2022-01-04,C0032,Southern Singletrack,Dealer,Booked,Net 30,Phoenix Distribution Center,37041.55
SO100037,2022-01-04,C0020,Alpine Ride Co.,Dealer,Booked,Net 30,Phoenix Distribution Center,17541.66
SO100038,2022-01-04,C0034,Green Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,31549.32
SO100039,2022-01-04,C0025,Lakeshore Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,14008.28
SO100040,2022-01-04,C0034,Green Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,19339.04
SO100041,2022-01-04,C0031,Pisgah Bike Co.,Dealer,Booked,Net 45,Phoenix Distribution Center,5682.84
SO100042,2022-01-04,C0019,Front Range Cyclery,Dealer,Booked,Net 30,Phoenix Distribution Center,4896.76
SO100043,2022-01-04,C0007,Red Rock Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,33793.5
SO100044,2022-01-04,C0003,Cactus Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,40168.56
SO100045,2022-01-04,C0016,Coastal Gravel Co.,Dealer,Booked,Net 30,Phoenix Distribution Center,38015.25
SO100046,2022-01-04,C0006,Tucson Trail Works,Dealer,Booked,Net 30,Phoenix Distribution Center,22253.04
SO100047,2022-01-04,C0025,Lakeshore Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,22995.8
SO100048,2022-01-04,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3499.0
SO100049,2022-01-04,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100050,2022-01-04,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100051,2022-01-04,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,7898.0
SO100052,2022-01-04,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,7499.0
SO100053,2022-01-05,C0028,Windy City Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,42632.85
SO100054,2022-01-05,C0011,Cascade Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,15992.9
SO100055,2022-01-05,C0023,Bozeman Bike Works,Dealer,Booked,Net 30,Phoenix Distribution Center,37043.5
SO100056,2022-01-05,C0014,Redwood Ride Shop,Dealer,Booked,Net 30,Phoenix Distribution Center,22811.04
SO100057,2022-01-05,C0021,Rocky Peak Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,25669.8
SO100058,2022-01-05,C0009,Las Cruces Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,10788.05
SO100059,2022-01-05,C0004,Sonoran Bike Co.,Dealer,Booked,Net 30,Phoenix Distribution Center,12893.52
SO100060,2022-01-05,C0028,Windy City Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,6173.7
SO100061,2022-01-05,C0019,Front Range Cyclery,Dealer,Booked,Net 30,Phoenix Distribution Center,31737.8
SO100062,2022-01-05,C0031,Pisgah Bike Co.,Dealer,Booked,Net 45,Phoenix Distribution Center,7944.26
SO100063,2022-01-05,C0027,Prairie Trail Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,6074.76
SO100064,2022-01-05,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100065,2022-01-05,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,10798.0
SO100066,2022-01-05,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100067,2022-01-05,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,6199.0
SO100068,2022-01-05,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,12398.0
SO100069,2022-01-05,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3499.0
SO100070,2022-01-06,C0016,Coastal Gravel Co.,Dealer,Booked,Net 30,Phoenix Distribution Center,42110.9
SO100071,2022-01-06,C0004,Sonoran Bike Co.,Dealer,Booked,Net 30,Phoenix Distribution Center,24361.04
SO100072,2022-01-06,C0025,Lakeshore Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,4090.76
SO100073,2022-01-06,C0010,Evergreen Cyclery,Dealer,Booked,Net 45,Phoenix Distribution Center,9161.68
SO100074,2022-01-06,C0020,Alpine Ride Co.,Dealer,Booked,Net 30,Phoenix Distribution Center,20021.04
SO100075,2022-01-06,C0014,Redwood Ride Shop,Dealer,Booked,Net 30,Phoenix Distribution Center,24732.42
SO100076,2022-01-06,C0031,Pisgah Bike Co.,Dealer,Booked,Net 45,Phoenix Distribution Center,48711.3
SO100077,2022-01-06,C0035,Adirondack Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,14101.75
SO100078,2022-01-06,C0018,High Country Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,28183.36
SO100079,2022-01-06,C0013,Pacific Trail Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,33866.78
SO100080,2022-01-06,C0020,Alpine Ride Co.,Dealer,Booked,Net 30,Phoenix Distribution Center,14751.66
SO100081,2022-01-06,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,6199.0
SO100082,2022-01-06,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100083,2022-01-06,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100084,2022-01-06,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100085,2022-01-06,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,6199.0
SO100086,2022-01-06,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100087,2022-01-07,C0006,Tucson Trail Works,Dealer,Booked,Net 30,Phoenix Distribution Center,37935.32
SO100088,2022-01-07,C0018,High Country Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,31545.62
SO100089,2022-01-07,C0024,Teton Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,5523.7
SO100090,2022-01-07,C0010,Evergreen Cyclery,Dealer,Booked,Net 45,Phoenix Distribution Center,19946.2
SO100091,2022-01-07,C0002,Desert Trail Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,34908.46
SO100092,2022-01-07,C0023,Bozeman Bike Works,Dealer,Booked,Net 30,Phoenix Distribution Center,37042.85
SO100093,2022-01-07,C0010,Evergreen Cyclery,Dealer,Booked,Net 45,Phoenix Distribution Center,31428.46
SO100094,2022-01-07,C0010,Evergreen Cyclery,Dealer,Booked,Net 45,Phoenix Distribution Center,20004.78
SO100095,2022-01-07,C0019,Front Range Cyclery,Dealer,Booked,Net 30,Phoenix Distribution Center,30001.8
SO100096,2022-01-07,C0031,Pisgah Bike Co.,Dealer,Booked,Net 45,Phoenix Distribution Center,27834.78
SO100097,2022-01-07,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100098,2022-01-07,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100099,2022-01-07,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3499.0
SO100100,2022-01-07,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100101,2022-01-07,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100102,2022-01-07,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100103,2022-01-08,C0026,Great Lakes Cyclery,Dealer,Booked,Net 30,Phoenix Distribution Center,14816.1
SO100104,2022-01-08,C0004,Sonoran Bike Co.,Dealer,Booked,Net 30,Phoenix Distribution Center,45127.94
SO100105,2022-01-08,C0019,Front Range Cyclery,Dealer,Booked,Net 30,Phoenix Distribution Center,38927.94
SO100106,2022-01-08,C0034,Green Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,18842.42
SO100107,2022-01-08,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,10798.0
SO100108,2022-01-08,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100109,2022-01-08,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100110,2022-01-08,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100111,2022-01-08,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100112,2022-01-08,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100113,2022-01-08,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3499.0
SO100114,2022-01-09,C0029,River Bend Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,26255.45
SO100115,2022-01-09,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,6199.0
SO100116,2022-01-09,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100117,2022-01-09,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100118,2022-01-09,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100119,2022-01-09,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100120,2022-01-09,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3999.0
SO100121,2022-01-10,C0022,Wasatch Wheel Works,Dealer,Booked,Net 30,Phoenix Distribution Center,32976.56
SO100122,2022-01-10,C0031,Pisgah Bike Co.,Dealer,Booked,Net 45,Phoenix Distribution Center,31198.78
SO100123,2022-01-10,C0035,Adirondack Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,43021.55
SO100124,2022-01-10,C0030,Blue Ridge Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,15124.28
SO100125,2022-01-10,C0032,Southern Singletrack,Dealer,Booked,Net 30,Phoenix Distribution Center,47893.3
SO100126,2022-01-10,C0031,Pisgah Bike Co.,Dealer,Booked,Net 45,Phoenix Distribution Center,23659.94
SO100127,2022-01-10,C0002,Desert Trail Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,43725.04
SO100128,2022-01-10,C0029,River Bend Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,59788.95
SO100129,2022-01-10,C0030,Blue Ridge Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,6446.76
SO100130,2022-01-10,C0010,Evergreen Cyclery,Dealer,Booked,Net 45,Phoenix Distribution Center,32182.46
SO100131,2022-01-10,C0015,Sierra Cycle Works,Dealer,Booked,Net 30,Phoenix Distribution Center,60312.98
SO100132,2022-01-10,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100133,2022-01-10,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,6598.0
SO100134,2022-01-10,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100135,2022-01-10,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100136,2022-01-10,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3499.0
SO100137,2022-01-10,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100138,2022-01-11,C0002,Desert Trail Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,22151.36
SO100139,2022-01-11,C0029,River Bend Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,26904.8
SO100140,2022-01-11,C0033,Appalachian Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,42647.32
SO100141,2022-01-11,C0031,Pisgah Bike Co.,Dealer,Booked,Net 45,Phoenix Distribution Center,34445.62
SO100142,2022-01-11,C0031,Pisgah Bike Co.,Dealer,Booked,Net 45,Phoenix Distribution Center,12061.68
SO100143,2022-01-11,C0035,Adirondack Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,22745.45
SO100144,2022-01-11,C0007,Red Rock Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,47440.9
SO100145,2022-01-11,C0031,Pisgah Bike Co.,Dealer,Booked,Net 45,Phoenix Distribution Center,25863.36
SO100146,2022-01-11,C0017,Bay Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,61244.84
SO100147,2022-01-11,C0017,Bay Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,9670.14
SO100148,2022-01-11,C0025,Lakeshore Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,20020.42
SO100149,2022-01-11,C0027,Prairie Trail Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,25662.42
SO100150,2022-01-11,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100151,2022-01-11,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,12398.0
SO100152,2022-01-11,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100153,2022-01-11,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100154,2022-01-11,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100155,2022-01-11,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,7499.0
SO100156,2022-01-12,C0009,Las Cruces Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,27228.5
SO100157,2022-01-12,C0013,Pacific Trail Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,30271.36
SO100158,2022-01-12,C0024,Teton Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,24044.8
SO100159,2022-01-12,C0022,Wasatch Wheel Works,Dealer,Booked,Net 30,Phoenix Distribution Center,17232.9
SO100160,2022-01-12,C0013,Pacific Trail Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,41346.46
SO100161,2022-01-12,C0032,Southern Singletrack,Dealer,Booked,Net 30,Phoenix Distribution Center,14037.4
SO100162,2022-01-12,C0009,Las Cruces Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,29762.2
SO100163,2022-01-12,C0011,Cascade Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,12149.52
SO100164,2022-01-12,C0009,Las Cruces Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,18715.45
SO100165,2022-01-12,C0025,Lakeshore Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,10660.9
SO100166,2022-01-12,C0024,Teton Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,17026.1
SO100167,2022-01-12,C0025,Lakeshore Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,18533.04
SO100168,2022-01-12,C0014,Redwood Ride Shop,Dealer,Booked,Net 30,Phoenix Distribution Center,29195.8
SO100169,2022-01-12,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100170,2022-01-12,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,14998.0
SO100171,2022-01-12,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3499.0
SO100172,2022-01-12,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100173,2022-01-12,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100174,2022-01-13,C0007,Red Rock Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,36782.85
SO100175,2022-01-13,C0005,Mesa Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,16767.4
SO100176,2022-01-13,C0025,Lakeshore Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,17418.28
SO100177,2022-01-13,C0031,Pisgah Bike Co.,Dealer,Booked,Net 45,Phoenix Distribution Center,21107.94
SO100178,2022-01-13,C0017,Bay Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,38433.8
SO100179,2022-01-13,C0026,Great Lakes Cyclery,Dealer,Booked,Net 30,Phoenix Distribution Center,50560.25
SO100180,2022-01-13,C0034,Green Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,23119.8
SO100181,2022-01-13,C0018,High Country Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,51030.14
SO100182,2022-01-13,C0012,Rain City Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,39447.85
SO100183,2022-01-13,C0002,Desert Trail Bikes,Dealer,Booked,Net 45,Phoenix Distribution Center,35141.62
SO100184,2022-01-13,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100185,2022-01-13,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,10398.0
SO100186,2022-01-13,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,9498.0
SO100187,2022-01-13,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100188,2022-01-13,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,6199.0
SO100189,2022-01-13,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100190,2022-01-14,C0014,Redwood Ride Shop,Dealer,Booked,Net 30,Phoenix Distribution Center,5268.76
SO100191,2022-01-14,C0031,Pisgah Bike Co.,Dealer,Booked,Net 45,Phoenix Distribution Center,35026.2
SO100192,2022-01-14,C0025,Lakeshore Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,16363.04
SO100193,2022-01-14,C0010,Evergreen Cyclery,Dealer,Booked,Net 45,Phoenix Distribution Center,11075.1
SO100194,2022-01-14,C0030,Blue Ridge Cycles,Dealer,Booked,Net 30,Phoenix Distribution Center,35021.94
SO100195,2022-01-14,C0017,Bay Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,36573.8
SO100196,2022-01-14,C0022,Wasatch Wheel Works,Dealer,Booked,Net 30,Phoenix Distribution Center,12397.52
SO100197,2022-01-14,C0027,Prairie Trail Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,6694.76
SO100198,2022-01-14,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,7898.0
SO100199,2022-01-14,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,6199.0
SO100200,2022-01-14,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100201,2022-01-14,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100202,2022-01-14,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,9798.0
SO100203,2022-01-14,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100204,2022-01-15,C0032,Southern Singletrack,Dealer,Booked,Net 30,Phoenix Distribution Center,39966.55
SO100205,2022-01-15,C0015,Sierra Cycle Works,Dealer,Booked,Net 30,Phoenix Distribution Center,17480.28
SO100206,2022-01-15,C0006,Tucson Trail Works,Dealer,Booked,Net 30,Phoenix Distribution Center,6074.76
SO100207,2022-01-15,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100208,2022-01-15,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100209,2022-01-15,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3499.0
SO100210,2022-01-15,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100211,2022-01-15,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3999.0
SO100212,2022-01-15,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100213,2022-01-15,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3299.0
SO100214,2022-01-16,C0025,Lakeshore Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,15124.28
SO100215,2022-01-16,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100216,2022-01-16,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100217,2022-01-16,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,3499.0
SO100218,2022-01-16,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100219,2022-01-16,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,9798.0
SO100220,2022-01-16,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100221,2022-01-16,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,6199.0
SO100222,2022-01-17,C0014,Redwood Ride Shop,Dealer,Booked,Net 30,Phoenix Distribution Center,27397.8
SO100223,2022-01-17,C0003,Cactus Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,33907.8
SO100224,2022-01-17,C0023,Bozeman Bike Works,Dealer,Booked,Net 30,Phoenix Distribution Center,10398.05
SO100225,2022-01-17,C0010,Evergreen Cyclery,Dealer,Booked,Net 45,Phoenix Distribution Center,12525.1
SO100226,2022-01-17,C0005,Mesa Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,12411.75
SO100227,2022-01-17,C0011,Cascade Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,27522.42
SO100228,2022-01-17,C0008,Sedona Ride Center,Dealer,Booked,Net 30,Phoenix Distribution Center,23618.28
SO100229,2022-01-17,C0016,Coastal Gravel Co.,Dealer,Booked,Net 30,Phoenix Distribution Center,11371.75
SO100230,2022-01-17,C0036,Pine Tree Bicycles,Dealer,Booked,Net 30,Phoenix Distribution Center,31192.2
SO100231,2022-01-17,C0017,Bay Mountain Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,7686.76
SO100232,2022-01-17,C0025,Lakeshore Bikes,Dealer,Booked,Net 30,Phoenix Distribution Center,36880.7
SO100233,2022-01-17,C0024,Teton Cycling,Dealer,Booked,Net 30,Phoenix Distribution Center,18844.8
SO100234,2022-01-17,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,5199.0
SO100235,2022-01-17,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100236,2022-01-17,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
SO100237,2022-01-17,C0001,Sonoran Cycles Online,DTC,Booked,Credit Card,Phoenix Distribution Center,4599.0
