date,weather,dealer_orders,dtc_orders,total_orders,purchase_orders_received,purchase_units_received,purchase_orders_created,purchase_units_ordered,total_on_hand_units,total_available_units,out_of_stock_skus
2022-03-13,Sunny,2,11,13,1,60,0,0,6752,6752,5
2022-03-14,Sunny,18,9,27,0,0,3,190,6604,6604,8
2022-03-15,Sunny,18,7,25,2,122,1,62,6589,6589,10
2022-03-16,Sunny,18,10,28,1,63,3,183,6497,6497,13
2022-03-17,Sunny,16,9,25,2,122,2,124,6497,6497,12
2022-03-18,Sunny,19,9,28,2,122,1,61,6464,6464,13
2022-03-19,Sunny,5,13,18,2,120,0,0,6548,6548,15
2022-03-20,Sunny,2,12,14,1,61,1,62,6579,6579,17
2022-03-21,Sunny,17,9,26,3,182,2,127,6595,6595,18
2022-03-22,Sunny,20,10,30,4,242,6,365,6688,6688,17
2022-03-23,Sunny,19,9,28,1,61,5,315,6604,6604,19
2022-03-24,Sunny,17,8,25,3,183,1,60,6686,6686,18
2022-03-25,Sunny,17,11,28,2,121,2,121,6687,6687,17
2022-03-26,Sunny,6,13,19,3,181,0,0,6817,6817,16
2022-03-27,Sunny,1,12,13,1,61,0,0,6859,6859,15
2022-03-28,Sunny,18,9,27,5,307,3,184,7042,7042,12
2022-03-29,Sunny,22,9,31,5,312,3,190,7150,7150,10
2022-03-30,Sunny,18,9,27,3,183,3,186,7186,7186,10
2022-03-31,Sunny,15,9,24,3,187,3,185,7250,7250,10
2022-04-01,Sunny,20,14,34,2,124,1,61,7215,7215,9
2022-04-02,Sunny,7,17,24,2,122,0,0,7268,7268,10
2022-04-03,Sunny,2,17,19,3,182,0,0,7411,7411,10
2022-04-04,Sunny,22,11,33,3,190,6,366,7416,7416,8
2022-04-05,Sunny,26,12,38,1,62,2,121,7292,7292,9
2022-04-06,Sunny,22,12,34,3,185,4,244,7284,7284,8
2022-04-07,Sunny,24,13,37,4,245,0,0,7310,7310,7
2022-04-08,Sunny,23,16,39,2,122,4,242,7251,7251,8
2022-04-09,Sunny,7,18,25,0,0,1,62,7155,7155,8
2022-04-10,Sunny,3,17,20,1,62,0,0,7183,7183,8
2022-04-11,Sunny,23,12,35,2,127,5,310,7128,7128,8
2022-04-12,Sunny,29,10,39,4,245,9,557,7118,7118,8
2022-04-13,Sunny,24,12,36,4,253,2,134,7134,7134,7
2022-04-14,Sunny,26,11,37,1,60,7,433,6979,6979,11
2022-04-15,Sunny,23,14,37,3,183,3,188,6977,6977,12
2022-04-16,Sunny,7,19,26,0,0,2,122,6905,6905,13
2022-04-17,Sunny,2,17,19,0,0,0,0,6879,6879,13
2022-04-18,Sunny,21,11,32,1,61,1,60,6790,6790,15
2022-04-19,Sunny,26,12,38,2,128,6,369,6688,6688,19
2022-04-20,Sunny,26,12,38,2,126,4,249,6646,6646,19
2022-04-21,Sunny,23,12,35,5,305,1,64,6794,6794,18
2022-04-22,Sunny,23,15,38,1,62,7,429,6668,6668,20
2022-04-23,Sunny,8,18,26,0,0,0,0,6608,6608,21
2022-04-24,Sunny,2,18,20,0,0,0,0,6586,6586,21
2022-04-25,Sunny,23,12,35,1,62,2,125,6515,6515,21
2022-04-26,Sunny,27,12,39,1,61,2,123,6401,6401,21
2022-04-27,Sunny,25,10,35,6,367,2,128,6555,6555,24
2022-04-28,Sunny,21,12,33,1,62,2,123,6473,6473,26
2022-04-29,Sunny,18,14,32,3,181,0,0,6551,6551,24
2022-04-30,Sunny,6,19,25,0,0,0,0,6502,6502,25
2022-05-01,Sunny,3,20,23,1,61,1,60,6519,6519,26
2022-05-02,Sunny,30,13,43,5,310,3,197,6617,6617,24
2022-05-03,Sunny,30,15,45,6,375,7,432,6746,6746,23
2022-05-04,Sunny,28,14,42,7,438,4,247,6999,6999,24
2022-05-05,Sunny,26,15,41,7,433,5,308,7179,7179,20
2022-05-06,Sunny,22,15,37,2,126,3,189,7145,7145,19
2022-05-07,Sunny,7,20,27,2,122,0,0,7204,7204,20
2022-05-08,Sunny,3,18,21,2,121,0,0,7281,7281,20
2022-05-09,Sunny,30,13,43,2,122,4,249,7184,7184,20
2022-05-10,Sunny,29,15,44,4,244,3,196,7202,7202,17
2022-05-11,Sunny,33,13,46,4,249,2,121,7205,7205,17
2022-05-12,Sunny,31,14,45,4,246,4,261,7230,7230,19
2022-05-13,Sunny,23,15,38,4,246,1,60,7283,7283,18
2022-05-14,Sunny,6,21,27,1,60,1,61,7270,7270,20
2022-05-15,Sunny,3,17,20,1,62,0,0,7296,7296,20
2022-05-16,Sunny,26,13,39,1,63,4,249,7161,7161,19
2022-05-17,Sunny,30,12,42,2,123,2,126,7051,7051,21
2022-05-18,Sunny,28,13,41,2,128,3,191,6961,6961,20
2022-05-19,Sunny,25,14,39,3,188,3,185,6980,6980,21
2022-05-20,Sunny,27,17,44,0,0,3,180,6803,6803,22
2022-05-21,Sunny,9,20,29,0,0,0,0,6710,6710,23
2022-05-22,Sunny,3,19,22,4,243,3,184,6915,6915,21
2022-05-23,Sunny,29,14,43,3,197,3,187,6925,6925,23
2022-05-24,Sunny,28,10,38,6,372,6,373,7077,7077,20
2022-05-25,Sunny,29,12,41,2,122,5,315,6980,6980,22
2022-05-26,Sunny,21,14,35,4,245,3,182,7081,7081,21
2022-05-27,Sunny,24,17,41,0,0,2,121,6891,6891,24
2022-05-28,Sunny,8,19,27,1,60,2,120,6907,6907,24
2022-05-29,Sunny,3,19,22,0,0,0,0,6882,6882,24
2022-05-30,Sunny,33,13,46,3,187,5,309,6826,6826,24
2022-05-31,Sunny,32,14,46,3,196,2,126,6811,6811,23
2022-06-01,Sunny,29,11,40,2,121,4,247,6726,6726,21
2022-06-02,Sunny,26,13,39,4,260,4,252,6795,6795,21
2022-06-03,Sunny,20,14,34,4,247,9,551,6905,6905,18
2022-06-04,Sunny,7,21,28,1,63,1,61,6904,6904,18
2022-06-05,Sunny,2,17,19,3,189,1,60,7068,7068,17
2022-06-06,Sunny,28,12,40,4,249,3,184,7108,7108,16
2022-06-07,Sunny,27,12,39,2,126,1,62,7013,7013,14
2022-06-08,Sunny,26,12,38,4,253,4,251,7069,7069,13
2022-06-09,Sunny,26,14,40,0,0,4,246,6876,6876,16
2022-06-10,Sunny,26,15,41,1,60,3,185,6751,6751,16
2022-06-11,Sunny,7,20,27,1,61,2,121,6734,6734,16
2022-06-12,Sunny,2,17,19,2,123,0,0,6831,6831,14
2022-06-13,Sunny,26,13,39,2,125,4,250,6754,6754,15
2022-06-14,Sunny,32,11,43,4,247,2,123,6786,6786,16
2022-06-15,Sunny,25,13,38,5,315,6,370,6884,6884,17
2022-06-16,Sunny,25,13,38,1,62,5,314,6732,6732,16
2022-06-17,Sunny,23,16,39,1,61,0,0,6614,6614,16
2022-06-18,Sunny,8,22,30,4,245,2,121,6774,6774,18
2022-06-19,Sunny,3,19,22,2,120,0,0,6855,6855,18
2022-06-20,Sunny,24,13,37,4,244,3,183,6918,6918,19
2022-06-21,Sunny,29,13,42,3,187,4,248,6908,6908,22
2022-06-22,Sunny,28,14,42,5,310,2,123,7036,7036,23
2022-06-23,Sunny,27,13,40,5,314,4,247,7137,7137,20
2022-06-24,Sunny,22,15,37,5,307,1,62,7279,7279,19
2022-06-25,Sunny,7,22,29,3,181,1,60,7405,7405,20
2022-06-26,Sunny,3,18,21,2,120,1,60,7491,7491,20
2022-06-27,Sunny,27,14,41,2,120,4,247,7406,7406,23
2022-06-28,Sunny,31,13,44,1,62,3,184,7264,7264,24
2022-06-29,Sunny,31,11,42,5,316,0,0,7393,7393,25
2022-06-30,Sunny,26,14,40,1,64,2,122,7274,7274,25
2022-07-01,Sunny,19,12,31,3,181,2,125,7334,7334,24
2022-07-02,Sunny,6,18,24,2,125,3,181,7399,7399,22
2022-07-03,Sunny,2,14,16,4,244,2,121,7615,7615,21
2022-07-04,Sunny,23,12,35,4,250,9,555,7679,7679,24
2022-07-05,Sunny,25,10,35,1,61,1,60,7585,7585,25
2022-07-06,Sunny,26,11,37,4,250,1,61,7639,7639,23
2022-07-07,Sunny,26,11,37,5,314,1,62,7737,7737,23
2022-07-08,Sunny,20,14,34,0,0,2,123,7575,7575,25
2022-07-09,Sunny,6,20,26,5,303,3,184,7806,7806,21
2022-07-10,Sunny,2,16,18,1,64,0,0,7841,7841,21
2022-07-11,Sunny,23,12,35,3,183,3,183,7843,7843,19
2022-07-12,Sunny,26,11,37,3,188,1,60,7828,7828,21
2022-07-13,Sunny,28,11,39,2,123,3,189,7769,7769,20
2022-07-14,Sunny,23,12,35,5,309,1,60,7930,7930,20
2022-07-15,Sunny,20,13,33,4,244,4,244,8022,8022,17
2022-07-16,Sunny,7,15,22,1,60,0,0,8006,8006,16
2022-07-17,Sunny,2,17,19,1,60,2,120,8042,8042,15
2022-07-18,Sunny,26,11,37,3,187,2,122,8038,8038,15
2022-07-19,Sunny,27,11,38,3,184,2,122,8014,8014,15
2022-07-20,Sunny,31,12,43,1,60,3,184,7840,7840,15
2022-07-21,Sunny,24,12,36,3,182,4,250,7826,7826,12
2022-07-22,Sunny,19,15,34,2,125,3,183,7802,7802,12
2022-07-23,Sunny,7,17,24,3,181,1,61,7921,7921,10
2022-07-24,Sunny,2,16,18,3,183,0,0,8069,8069,8
2022-07-25,Sunny,24,11,35,6,371,5,306,8207,8207,4
2022-07-26,Sunny,25,12,37,0,0,3,185,8019,8019,7
2022-07-27,Sunny,27,10,37,1,60,4,244,7860,7860,7
2022-07-28,Sunny,22,11,33,1,62,3,182,7728,7728,10
2022-07-29,Sunny,21,15,36,1,62,1,70,7628,7628,13
2022-07-30,Sunny,7,17,24,2,124,0,0,7687,7687,14
2022-07-31,Sunny,2,16,18,0,0,0,0,7661,7661,14
2022-08-01,Sunny,20,10,30,3,183,2,121,7678,7678,13
2022-08-02,Sunny,25,10,35,1,60,2,122,7546,7546,15
2022-08-03,Sunny,22,9,31,6,373,8,492,7708,7708,14
2022-08-04,Sunny,19,10,29,1,60,0,0,7632,7632,15
2022-08-05,Sunny,18,12,30,5,305,2,121,7790,7790,13
2022-08-06,Sunny,6,14,20,0,0,2,120,7740,7740,13
2022-08-07,Sunny,2,16,18,3,181,0,0,7897,7897,12
2022-08-08,Sunny,18,8,26,3,182,3,182,7947,7947,11
2022-08-09,Sunny,22,9,31,1,60,1,62,7838,7838,12
2022-08-10,Sunny,23,10,33,3,184,3,192,7836,7836,13
2022-08-11,Sunny,19,11,30,4,250,3,187,7896,7896,10
2022-08-12,Sunny,16,14,30,2,122,4,248,7899,7899,10
2022-08-13,Sunny,5,14,19,2,121,0,0,7963,7963,8
2022-08-14,Sunny,2,15,17,0,0,0,0,7933,7933,8
2022-08-15,Sunny,21,9,30,4,246,2,123,8008,8008,12
2022-08-16,Sunny,26,10,36,2,122,0,0,7920,7920,11
2022-08-17,Sunny,22,12,34,4,244,1,61,7961,7961,14
2022-08-18,Sunny,23,11,34,3,182,6,378,7952,7952,17
2022-08-19,Sunny,19,12,31,1,70,4,247,7868,7868,17
2022-08-20,Sunny,6,15,21,0,0,0,0,7793,7793,18
2022-08-21,Sunny,2,14,16,1,61,1,60,7828,7828,18
2022-08-22,Sunny,23,9,32,2,121,4,248,7779,7779,17
2022-08-23,Sunny,25,10,35,2,122,1,65,7749,7749,19
2022-08-24,Sunny,23,9,32,5,304,4,248,7904,7904,17
2022-08-25,Sunny,20,10,30,1,63,2,121,7831,7831,17
2022-08-26,Sunny,19,11,30,1,60,3,188,7733,7733,17
2022-08-27,Sunny,6,14,20,3,182,0,0,7857,7857,15
2022-08-28,Sunny,2,15,17,0,0,1,62,7824,7824,15
2022-08-29,Sunny,20,10,30,1,61,4,244,7691,7691,16
2022-08-30,Sunny,24,11,35,1,62,5,313,7580,7580,18
2022-08-31,Sunny,21,9,30,2,132,2,120,7553,7553,19
2022-09-01,Sunny,18,9,27,2,125,2,125,7510,7510,18
2022-09-02,Sunny,15,10,25,7,433,0,0,7795,7795,13
2022-09-03,Sunny,5,14,19,0,0,0,0,7755,7755,14
2022-09-04,Sunny,2,10,12,1,61,0,0,7788,7788,14
2022-09-05,Sunny,18,9,27,2,123,4,246,7764,7764,13
2022-09-06,Sunny,20,9,29,0,0,1,68,7588,7588,16
2022-09-07,Sunny,20,10,30,2,121,1,63,7551,7551,14
2022-09-08,Sunny,18,11,29,4,256,2,124,7654,7654,16
2022-09-09,Sunny,16,10,26,4,245,4,249,7779,7779,15
2022-09-10,Sunny,6,13,19,1,62,2,121,7777,7777,15
2022-09-11,Sunny,2,13,15,2,123,0,0,7871,7871,15
2022-09-12,Sunny,19,9,28,4,248,2,120,7966,7966,12
2022-09-13,Sunny,18,10,28,1,65,5,306,7892,7892,13
2022-09-14,Sunny,18,9,27,1,62,4,243,7811,7811,14
2022-09-15,Sunny,16,9,25,0,0,2,123,7683,7683,15
2022-09-16,Sunny,17,10,27,3,184,1,62,7751,7751,13
2022-09-17,Sunny,5,12,17,2,122,1,61,7828,7828,13
2022-09-18,Sunny,2,11,13,2,124,1,61,7933,7933,11
2022-09-19,Sunny,21,8,29,3,182,2,123,7966,7966,10
2022-09-20,Sunny,17,8,25,4,253,2,125,8057,8057,9
2022-09-21,Sunny,20,8,28,2,120,4,250,8014,8014,8
2022-09-22,Sunny,18,8,26,1,64,0,0,7937,7937,7
2022-09-23,Sunny,16,12,28,3,186,3,185,7969,7969,8
2022-09-24,Sunny,6,12,18,2,121,0,0,8013,8013,7
2022-09-25,Sunny,2,12,14,1,65,1,62,8045,8045,7
2022-09-26,Sunny,18,8,26,2,124,1,60,8029,8029,6
2022-09-27,Sunny,22,8,30,1,68,0,0,7926,7926,7
2022-09-28,Sunny,20,9,29,1,62,4,241,7811,7811,9
2022-09-29,Sunny,17,10,27,2,122,1,61,7775,7775,10
2022-09-30,Sunny,18,11,29,4,249,1,60,7873,7873,10
2022-10-01,Sunny,4,12,16,2,122,0,0,7953,7953,12
2022-10-02,Sunny,1,9,10,0,0,1,60,7941,7941,12
2022-10-03,Sunny,19,8,27,0,0,2,121,7805,7805,12
2022-10-04,Sunny,18,7,25,5,306,3,184,7953,7953,11
2022-10-05,Sunny,18,8,26,4,244,2,123,8053,8053,12
2022-10-06,Sunny,14,8,22,1,60,1,60,8017,8017,11
2022-10-07,Sunny,13,9,22,2,125,4,243,8039,8039,12
2022-10-08,Sunny,4,12,16,2,123,0,0,8135,8135,11
2022-10-09,Sunny,1,10,11,1,61,0,0,8185,8185,10
2022-10-10,Sunny,15,6,21,2,120,1,64,8175,8175,9
2022-10-11,Sunny,17,7,24,1,62,3,183,8090,8090,8
2022-10-12,Sunny,18,7,25,4,247,1,62,8181,8181,5
2022-10-13,Sunny,15,9,24,0,0,4,246,8060,8060,7
2022-10-14,Sunny,14,9,23,5,306,3,181,8234,8234,4
2022-10-15,Sunny,4,12,16,1,63,1,60,8250,8250,5
2022-10-16,Sunny,1,10,11,0,0,0,0,8230,8230,5
2022-10-17,Sunny,15,6,21,1,60,1,60,8142,8142,6
2022-10-18,Sunny,19,7,26,0,0,2,121,7977,7977,7
2022-10-19,Sunny,14,7,21,4,243,6,367,8100,8100,6
2022-10-20,Sunny,13,9,22,1,63,1,62,8035,8035,7
2022-10-21,Sunny,13,9,22,3,183,5,311,8087,8087,7
2022-10-22,Sunny,5,10,15,0,0,1,61,8037,8037,7
2022-10-23,Sunny,1,11,12,0,0,0,0,8018,8018,8
2022-10-24,Sunny,15,7,22,2,121,1,61,8018,8018,8
2022-10-25,Sunny,17,7,24,4,246,4,252,8105,8105,7
2022-10-26,Sunny,18,8,26,1,61,3,185,8000,8000,7
2022-10-27,Sunny,15,8,23,0,0,1,60,7879,7879,8
2022-10-28,Sunny,14,9,23,5,304,1,63,8079,8079,5
2022-10-29,Sunny,5,11,16,1,61,0,0,8090,8090,5
2022-10-30,Sunny,1,10,11,0,0,0,0,8077,8077,5
2022-10-31,Sunny,15,7,22,1,64,4,244,8011,8011,4
2022-11-01,Sunny,20,8,28,3,180,3,183,8016,8016,8
2022-11-02,Sunny,17,7,24,1,62,4,242,7940,7940,7
2022-11-03,Sunny,18,8,26,3,184,5,305,7954,7954,7
2022-11-04,Sunny,12,9,21,4,243,1,60,8106,8106,7
2022-11-05,Sunny,5,12,17,2,120,3,184,8165,8165,7
2022-11-06,Sunny,1,11,12,0,0,0,0,8151,8151,7
2022-11-07,Sunny,17,7,24,1,60,3,182,8086,8086,7
2022-11-08,Sunny,18,8,26,2,121,2,123,8067,8067,6
2022-11-09,Sunny,17,7,24,3,183,3,185,8096,8096,6
2022-11-10,Sunny,18,8,26,2,125,3,189,8052,8052,6
2022-11-11,Sunny,16,9,25,3,188,3,187,8105,8105,5
2022-11-12,Sunny,5,10,15,2,123,1,61,8175,8175,4
2022-11-13,Sunny,2,13,15,0,0,0,0,8146,8146,4
2022-11-14,Sunny,15,8,23,0,0,2,126,8040,8040,4
2022-11-15,Sunny,20,8,28,2,129,1,65,7996,7996,5
2022-11-16,Sunny,17,7,24,2,125,3,185,7959,7959,4
2022-11-17,Sunny,14,10,24,1,60,1,60,7898,7898,6
2022-11-18,Sunny,14,9,23,4,247,3,182,7990,7990,6
2022-11-19,Sunny,5,12,17,0,0,1,60,7935,7935,6
2022-11-20,Sunny,1,11,12,2,123,0,0,8043,8043,5
2022-11-21,Sunny,16,8,24,4,244,2,121,8180,8180,5
2022-11-22,Sunny,20,8,28,3,183,3,184,8217,8217,7
2022-11-23,Sunny,19,9,28,4,242,3,183,8334,8334,9
2022-11-24,Sunny,16,9,25,5,308,2,122,8509,8509,8
2022-11-25,Sunny,14,10,24,1,60,2,120,8447,8447,10
2022-11-26,Sunny,5,10,15,1,61,0,0,8463,8463,12
2022-11-27,Sunny,1,11,12,0,0,0,0,8440,8440,12
2022-11-28,Sunny,16,8,24,3,182,5,311,8456,8456,13
2022-11-29,Sunny,18,7,25,2,123,4,244,8454,8454,13
2022-11-30,Sunny,17,9,26,2,125,2,122,8450,8450,13
2022-12-01,Sunny,13,7,20,3,189,0,0,8542,8542,12
2022-12-02,Sunny,10,8,18,3,185,0,0,8640,8640,10
2022-12-03,Sunny,3,10,13,3,181,0,0,8787,8787,7
2022-12-04,Sunny,1,9,10,1,60,1,60,8834,8834,6
2022-12-05,Sunny,12,5,17,3,185,1,64,8917,8917,4
2022-12-06,Sunny,13,7,20,1,65,2,120,8856,8856,5
2022-12-07,Sunny,13,7,20,3,185,1,60,8921,8921,7
2022-12-08,Sunny,11,6,17,1,60,1,65,8898,8898,7
2022-12-09,Sunny,11,8,19,4,242,0,0,9041,9041,6
2022-12-10,Sunny,3,11,14,1,60,0,0,9052,9052,5
2022-12-11,Sunny,1,9,10,1,63,0,0,9095,9095,6
2022-12-12,Sunny,13,5,18,2,121,1,60,9118,9118,6
2022-12-13,Sunny,14,6,20,1,60,2,123,9062,9062,7
2022-12-14,Sunny,13,6,19,2,127,2,121,9068,9068,8
2022-12-15,Sunny,13,7,20,2,122,2,123,9062,9062,8
2022-12-16,Sunny,10,8,18,1,60,1,62,9018,9018,9
2022-12-17,Sunny,4,9,13,0,0,1,61,8971,8971,9
2022-12-18,Sunny,1,9,10,0,0,0,0,8957,8957,9
2022-12-19,Sunny,11,7,18,4,250,3,181,9117,9117,7
2022-12-20,Sunny,13,5,18,4,244,2,124,9250,9250,3
2022-12-21,Sunny,13,6,19,2,122,2,123,9240,9240,1
2022-12-22,Sunny,12,7,19,2,124,1,60,9235,9235,0
2022-12-23,Sunny,10,7,17,2,120,3,185,9253,9253,0
2022-12-24,Sunny,3,10,13,0,0,0,0,9214,9214,1
2022-12-25,Sunny,1,8,9,2,120,0,0,9309,9309,1
2022-12-26,Sunny,11,6,17,0,0,2,122,9197,9197,2
2022-12-27,Sunny,13,5,18,2,120,3,183,9201,9201,1
2022-12-28,Sunny,13,6,19,2,121,2,122,9202,9202,1
2022-12-29,Sunny,12,7,19,0,0,2,121,9080,9080,2
2022-12-30,Sunny,9,9,18,0,0,0,0,8996,8996,2
2022-12-31,Sunny,3,8,11,0,0,1,60,8960,8960,3
2023-01-01,Sunny,1,8,9,0,0,0,0,8945,8945,3
2023-01-02,Sunny,11,5,16,1,60,4,244,8911,8911,3
2023-01-03,Sunny,14,5,19,2,123,0,0,8904,8904,3
2023-01-04,Sunny,12,5,17,2,125,4,243,8937,8937,3
2023-01-05,Sunny,11,6,17,1,63,2,121,8909,8909,3
2023-01-06,Sunny,10,6,16,1,62,0,0,8881,8881,3
2023-01-07,Sunny,3,8,11,2,126,0,0,8963,8963,3
2023-01-08,Sunny,1,8,9,0,0,0,0,8953,8953,3
2023-01-09,Sunny,11,5,16,0,0,2,125,8845,8845,3
2023-01-10,Sunny,14,5,19,2,124,2,124,8838,8838,2
2023-01-11,Sunny,10,5,15,2,123,4,243,8846,8846,3
2023-01-12,Sunny,13,5,18,1,60,0,0,8780,8780,3
2023-01-13,Sunny,11,6,17,2,120,1,61,8787,8787,2
2023-01-14,Sunny,3,9,12,1,60,2,123,8814,8814,1
2023-01-15,Sunny,1,8,9,0,0,0,0,8792,8792,1
2023-01-16,Sunny,11,5,16,2,122,1,61,8806,8806,1
2023-01-17,Sunny,11,5,16,2,121,1,60,8850,8850,4
2023-01-18,Sunny,12,5,17,4,241,2,128,8993,8993,4
2023-01-19,Sunny,12,6,18,2,121,0,0,9035,9035,4
2023-01-20,Sunny,8,7,15,0,0,3,182,8953,8953,5
2023-01-21,Sunny,4,8,12,0,0,1,60,8916,8916,5
2023-01-22,Sunny,1,7,8,2,125,0,0,9021,9021,5
2023-01-23,Sunny,12,5,17,4,244,1,60,9176,9176,5
2023-01-24,Sunny,15,5,20,0,0,2,124,9069,9069,5
2023-01-25,Sunny,11,5,16,2,121,6,374,9079,9079,3
2023-01-26,Sunny,11,6,17,3,183,0,0,9158,9158,3
2023-01-27,Sunny,10,5,15,1,62,3,185,9125,9125,3
2023-01-28,Sunny,3,8,11,0,0,0,0,9097,9097,3
2023-01-29,Sunny,1,7,8,0,0,0,0,9075,9075,3
2023-01-30,Sunny,10,6,16,2,123,1,61,9093,9093,3
2023-01-31,Sunny,12,5,17,1,63,1,62,9048,9048,3
2023-02-01,Sunny,14,5,19,3,182,3,181,9091,9091,3
2023-02-02,Sunny,14,8,22,0,0,3,180,8959,8959,3
2023-02-03,Sunny,11,8,19,3,183,0,0,9058,9058,4
2023-02-04,Sunny,4,9,13,0,0,0,0,9031,9031,4
2023-02-05,Sunny,1,9,10,0,0,1,61,9014,9014,4
2023-02-06,Sunny,13,6,19,1,61,3,189,8956,8956,4
2023-02-07,Sunny,13,6,19,0,0,1,63,8823,8823,5
2023-02-08,Sunny,15,6,21,2,129,5,302,8820,8820,4
2023-02-09,Sunny,14,6,20,1,61,3,183,8777,8777,4
2023-02-10,Sunny,10,7,17,3,181,1,61,8887,8887,3
